Genome_ID	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
G_129972	NA	G_129972_r_86	58511	58993	+	dfrC	trimethoprim-resistant dihydrofolate reductase DfrC	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	161	161	100.00	100.00	161	WP_001830952.1	trimethoprim-resistant dihydrofolate reductase DfrC	NA	NA
G_132524	NA	G_132524_r_10	60054	60782	+	erm(A)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	243	243	100.00	100.00	243	WP_001072201.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	NA	NA
G_132524	NA	G_132524_r_10	60914	61693	-	ant(9)-Ia	aminoglycoside nucleotidyltransferase ANT(9)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN	EXACTX	260	260	100.00	100.00	260	WP_000067268.1	aminoglycoside nucleotidyltransferase ANT(9)-Ia	NA	NA
G_132524	NA	G_132524_r_14	1199	1837	-	fusB	fusidic acid resistance EF-G-binding protein FusB	core	AMR	AMR	FUSIDIC ACID	FUSIDIC ACID	EXACTX	213	213	100.00	100.00	213	WP_000855537.1	fusidic acid resistance EF-G-binding protein FusB	NA	NA
G_132524	NA	G_132524_r_27	12849	14390	+	qacA	quaternary ammonium compound efflux MFS transporter QacA	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	514	514	100.00	100.00	514	WP_000622776.1	quaternary ammonium compound efflux MFS transporter QacA	NA	NA
G_132524	NA	G_132524_r_4	115968	116345	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	96.03	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
G_132524	NA	G_132524_r_4	118199	119041	+	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	281	281	100.00	94.66	281	WP_000733281.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
G_132524	NA	G_132524_r_5	106979	107824	+	str	streptomycin adenylyltransferase Str	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	282	282	100.00	100.00	282	WP_031916103.1	streptomycin adenylyltransferase Str	NA	NA
G_132524	NA	G_132524_r_53	200	1576	+	tet(K)	tetracycline efflux MFS transporter Tet(K)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	459	459	100.00	99.78	459	WP_000492283.1	tetracycline efflux MFS transporter Tet(K)	NA	NA
G_132524	NA	G_132524_r_59	460	1896	+	aac(6')-Ie/aph(2'')-Ia	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTX	479	479	100.00	100.00	479	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	NA	NA
G_132524	NA	G_132524_r_62	61	540	-	dfrC	trimethoprim-resistant dihydrofolate reductase DfrC	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	160	161	99.38	98.12	160	WP_001830952.1	trimethoprim-resistant dihydrofolate reductase DfrC	NA	NA
G_132158	NA	G_132158_r_136	1013	1495	-	dfrC	trimethoprim-resistant dihydrofolate reductase DfrC	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	161	161	100.00	98.14	161	WP_001830952.1	trimethoprim-resistant dihydrofolate reductase DfrC	NA	NA
G_132158	NA	G_132158_r_145	16407	16775	-	mecI	mecA-type methicillin resistance repressor MecI	core	AMR	AMR	BETA-LACTAM	METHICILLIN	EXACTX	123	123	100.00	100.00	123	WP_000369214.1	mecA-type methicillin resistance repressor MecI	NA	NA
G_132158	NA	G_132158_r_145	16778	18532	-	mecR1	beta-lactam sensor/signal transducer MecR1	core	AMR	AMR	BETA-LACTAM	METHICILLIN	EXACTX	585	585	100.00	100.00	585	WP_000952923.1	beta-lactam sensor/signal transducer MecR1	NA	NA
G_132158	NA	G_132158_r_145	18632	20635	+	mecA	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	core	AMR	AMR	BETA-LACTAM	METHICILLIN	EXACTX	668	668	100.00	100.00	668	WP_000721310.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	NA	NA
G_132158	NA	G_132158_r_151	5499	6341	-	blaPC1	BlaZ family penicillin-hydrolyzing class A beta-lactamase PC1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	281	281	100.00	100.00	281	WP_000733283.1	BlaZ family penicillin-hydrolyzing class A beta-lactamase PC1	NA	NA
G_132158	NA	G_132158_r_151	6448	8202	+	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	585	585	100.00	99.66	585	WP_001096376.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
G_132158	NA	G_132158_r_151	8195	8572	+	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	126	126	100.00	100.00	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
G_132158	NA	G_132158_r_153	4902	6278	-	tet(K)	tetracycline efflux MFS transporter Tet(K)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	459	459	100.00	100.00	459	WP_000492283.1	tetracycline efflux MFS transporter Tet(K)	NA	NA
G_132158	NA	G_132158_r_162	1688	2419	+	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	244	244	100.00	100.00	244	WP_001003263.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
G_132158	NA	G_132158_r_163	2735	3037	-	bleO	bleomycin binding protein	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	PARTIAL_CONTIG_ENDX	101	134	75.37	100.00	101	WP_001242578.1	bleomycin binding protein	NA	NA
G_132158	NA	G_132158_r_164	905	2341	+	aac(6')-Ie/aph(2'')-Ia	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTX	479	479	100.00	100.00	479	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	NA	NA
G_132158	NA	G_132158_r_165	420	821	-	bleO	bleomycin binding protein	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	EXACTX	134	134	100.00	100.00	134	WP_001242578.1	bleomycin binding protein	NA	NA
G_132158	NA	G_132158_r_165	1041	1808	-	aadD1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	EXACTX	256	256	100.00	100.00	256	WP_001795128.1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	NA	NA
G_132158	NA	G_132158_r_20	920	2452	+	qacA	quaternary ammonium compound efflux MFS transporter QacA	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	511	514	99.42	99.80	511	WP_000622776.1	quaternary ammonium compound efflux MFS transporter QacA	NA	NA
G_132158	NA	G_132158_r_26	44324	44749	-	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	INTERNAL_STOP	142	142	100.00	98.59	142	WP_002467687.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
G_49844	NA	G_49844_r_34	17349	19265	+	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.84	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NA	NA
G_128774	NA	G_128774_r_103	453	1184	-	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	244	244	100.00	100.00	244	WP_001003263.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
G_128774	NA	G_128774_r_118	129	497	-	mecI	mecA-type methicillin resistance repressor MecI	core	AMR	AMR	BETA-LACTAM	METHICILLIN	EXACTX	123	123	100.00	100.00	123	WP_000369214.1	mecA-type methicillin resistance repressor MecI	NA	NA
G_128774	NA	G_128774_r_118	500	2254	-	mecR1	beta-lactam sensor/signal transducer MecR1	core	AMR	AMR	BETA-LACTAM	METHICILLIN	EXACTX	585	585	100.00	100.00	585	WP_000952923.1	beta-lactam sensor/signal transducer MecR1	NA	NA
G_128774	NA	G_128774_r_118	2354	4357	+	mecA	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	core	AMR	AMR	BETA-LACTAM	METHICILLIN	EXACTX	668	668	100.00	100.00	668	WP_000721310.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	NA	NA
G_128774	NA	G_128774_r_136	3	377	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	125	126	99.21	99.20	125	WP_001284656.1	penicillinase repressor BlaI	NA	NA
G_128774	NA	G_128774_r_136	370	2124	-	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	585	585	100.00	95.90	585	WP_001096386.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
G_128774	NA	G_128774_r_136	2231	3073	+	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	281	281	100.00	99.29	281	WP_000733283.1	BlaZ family penicillin-hydrolyzing class A beta-lactamase PC1	NA	NA
G_128774	NA	G_128774_r_17	32006	32488	-	dfrC	trimethoprim-resistant dihydrofolate reductase DfrC	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	161	161	100.00	100.00	161	WP_001830952.1	trimethoprim-resistant dihydrofolate reductase DfrC	NA	NA
G_128774	NA	G_128774_r_36	4737	6278	+	qacA	quaternary ammonium compound efflux MFS transporter QacA	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	514	514	100.00	99.81	514	WP_000622776.1	quaternary ammonium compound efflux MFS transporter QacA	NA	NA
G_128774	NA	G_128774_r_67	146	1582	-	aac(6')-Ie/aph(2'')-Ia	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTX	479	479	100.00	100.00	479	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	NA	NA
G_128774	NA	G_128774_r_93	52308	52733	+	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	INTERNAL_STOP	142	142	100.00	98.59	142	WP_002467687.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
G_128774	NA	G_128774_r_95	2472	5543	+	mupA	mupirocin-resistant isoleucine--tRNA ligase MupA	core	AMR	AMR	MUPIROCIN	MUPIROCIN	EXACTX	1024	1024	100.00	100.00	1024	WP_000163435.1	mupirocin-resistant isoleucine--tRNA ligase MupA	NA	NA
G_131616	NA	G_131616_r_19	7170	7547	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	99.21	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
G_131616	NA	G_131616_r_19	7540	9294	-	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	585	585	100.00	100.00	585	WP_001096386.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
G_131616	NA	G_131616_r_19	9401	10243	+	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	281	281	100.00	100.00	281	WP_000733274.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
G_131616	NA	G_131616_r_21	369	1343	-	mecR1	beta-lactam sensor/signal transducer MecR1	core	AMR	AMR	BETA-LACTAM	METHICILLIN	PARTIALX	325	585	55.56	100.00	325	WP_000952923.1	beta-lactam sensor/signal transducer MecR1	NA	NA
G_131616	NA	G_131616_r_21	1443	3446	+	mecA	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	core	AMR	AMR	BETA-LACTAM	METHICILLIN	EXACTX	668	668	100.00	100.00	668	WP_000721310.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	NA	NA
G_131616	NA	G_131616_r_22	242229	242711	+	dfrC	trimethoprim-resistant dihydrofolate reductase DfrC	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	161	161	100.00	100.00	161	WP_001830952.1	trimethoprim-resistant dihydrofolate reductase DfrC	NA	NA
G_131616	NA	G_131616_r_27	588	908	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	107	107	100.00	100.00	107	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
G_131616	NA	G_131616_r_29	1693	2424	+	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	244	244	100.00	100.00	244	WP_001003263.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
G_131616	NA	G_131616_r_30	400	1836	+	aac(6')-Ie/aph(2'')-Ia	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTX	479	479	100.00	100.00	479	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	NA	NA
G_131616	NA	G_131616_r_31	211	1002	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NA	NA
G_131616	NA	G_131616_r_31	1098	1535	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	PARTIALX	146	180	81.11	92.47	146	WP_000627290.1	streptothricin N-acetyltransferase Sat4	NA	NA
G_131616	NA	G_131616_r_40	57702	58127	-	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	142	142	100.00	100.00	142	WP_002437790.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
G_49870	NA	G_49870_r_118	2697	4610	+	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	638	639	99.84	99.69	638	WP_003672618.1	tetracycline resistance ribosomal protection protein Tet(W)	NA	NA
G_49870	NA	G_49870_r_125	349	1683	+	tet(L)	tetracycline efflux MFS transporter Tet(L)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	445	458	97.16	99.10	445	WP_002294500.1	tetracycline efflux MFS transporter Tet(L)	NA	NA
G_49870	NA	G_49870_r_144	2877	3359	+	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTX	161	161	100.00	100.00	161	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NA	NA
G_49870	NA	G_49870_r_41	174	950	+	ant(9)-Ia	aminoglycoside nucleotidyltransferase ANT(9)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN	INTERNAL_STOP	259	260	99.62	98.84	259	WP_000067268.1	aminoglycoside nucleotidyltransferase ANT(9)-Ia	NA	NA
G_49870	NA	G_49870_r_5	2532	3299	+	aadD1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	EXACTX	256	256	100.00	100.00	256	WP_032488330.1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	NA	NA
G_131572	NA	G_131572_r_11	53425	53850	+	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	142	142	100.00	95.07	142	WP_002437790.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
G_131572	NA	G_131572_r_17	105594	106088	+	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.00	100.00	165	WP_000868795.1	trimethoprim-resistant dihydrofolate reductase DfrG	NA	NA
G_131572	NA	G_131572_r_18	40706	41188	-	dfrC	trimethoprim-resistant dihydrofolate reductase DfrC	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	161	161	100.00	99.38	161	WP_001830952.1	trimethoprim-resistant dihydrofolate reductase DfrC	NA	NA
G_131572	NA	G_131572_r_22	62513	62890	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	96.03	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
G_131572	NA	G_131572_r_22	64744	65586	+	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	281	281	100.00	94.66	281	WP_000733281.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
G_131572	NA	G_131572_r_7	13055	14518	+	msr(A)	ABC-F type ribosomal protection protein Msr(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	488	488	100.00	99.80	488	WP_000438874.1	ABC-F type ribosomal protection protein Msr(A)	NA	NA
G_131572	NA	G_131572_r_7	14620	15516	+	mph(C)	Mph(C) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	299	299	100.00	100.00	299	WP_000196697.1	Mph(C) family macrolide 2'-phosphotransferase	NA	NA
G_131572	NA	G_131572_r_7	17562	19103	+	qacA	quaternary ammonium compound efflux MFS transporter QacA	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	514	514	100.00	100.00	514	WP_000622776.1	quaternary ammonium compound efflux MFS transporter QacA	NA	NA
G_50091	NA	G_50091_r_24	8113	10029	-	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.69	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NA	NA
G_49885	NA	G_49885_r_101	1012	1875	-	aadE	aminoglycoside 6-adenylyltransferase AadE	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	288	288	100.00	99.65	288	WP_001255868.1	aminoglycoside 6-adenylyltransferase AadE	NA	NA
G_49885	NA	G_49885_r_4	138	887	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	250	250	100.00	98.40	250	WP_011018369.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
G_49885	NA	G_49885_r_58	3200	5125	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	642	639	100.00	98.44	642	WP_000691727.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
G_49885	NA	G_49885_r_59	441	1865	-	fexA	chloramphenicol/florfenicol efflux MFS transporter FexA	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	475	475	100.00	97.89	475	WP_015585966.1	chloramphenicol/florfenicol efflux MFS transporter FexA	NA	NA
G_49885	NA	G_49885_r_68	6300	6941	-	vat(E)	streptogramin A O-acetyltransferase Vat(E)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTX	214	214	100.00	100.00	214	WP_002328813.1	streptogramin A O-acetyltransferase Vat(E)	NA	NA
G_49885	NA	G_49885_r_81	6407	7174	-	aadD1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	EXACTX	256	256	100.00	100.00	256	WP_032488330.1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	NA	NA
G_49885	NA	G_49885_r_83	1425	1916	+	lnu(C)	lincosamide nucleotidyltransferase Lnu(C)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTX	164	164	100.00	96.34	164	WP_063851341.1	lincosamide nucleotidyltransferase Lnu(C)	NA	NA
G_129871	NA	G_129871_r_22	122683	123165	-	dfrC	trimethoprim-resistant dihydrofolate reductase DfrC	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	161	161	100.00	100.00	161	WP_001830952.1	trimethoprim-resistant dihydrofolate reductase DfrC	NA	NA
G_129871	NA	G_129871_r_38	53218	53643	+	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	142	142	100.00	99.30	142	WP_002467687.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
G_129871	NA	G_129871_r_61	144	986	-	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	281	281	100.00	100.00	281	WP_000733274.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
G_129871	NA	G_129871_r_61	1093	2847	+	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	585	585	100.00	100.00	585	WP_001096386.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
G_129871	NA	G_129871_r_61	2840	3217	+	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	99.21	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
G_129871	NA	G_129871_r_66	335	1309	-	mecR1	beta-lactam sensor/signal transducer MecR1	core	AMR	AMR	BETA-LACTAM	METHICILLIN	PARTIALX	325	585	55.56	100.00	325	WP_000952923.1	beta-lactam sensor/signal transducer MecR1	NA	NA
G_129871	NA	G_129871_r_66	1409	3412	+	mecA	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	core	AMR	AMR	BETA-LACTAM	METHICILLIN	EXACTX	668	668	100.00	100.00	668	WP_000721310.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	NA	NA
G_100380	NA	G_100380_r_13	13780	15696	+	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_002586627.1	tetracycline resistance ribosomal protection protein Tet(W)	NA	NA
G_130175	NA	G_130175_r_18	157	999	-	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	281	281	100.00	99.64	281	WP_000733274.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
G_130175	NA	G_130175_r_18	1106	2860	+	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTX	585	585	100.00	100.00	585	WP_001096386.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
G_130175	NA	G_130175_r_18	2853	3230	+	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	99.21	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
G_130175	NA	G_130175_r_6	23828	24310	-	dfrC	trimethoprim-resistant dihydrofolate reductase DfrC	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	161	161	100.00	100.00	161	WP_001830952.1	trimethoprim-resistant dihydrofolate reductase DfrC	NA	NA
G_130175	NA	G_130175_r_74	1471	2367	-	mph(C)	Mph(C) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	299	299	100.00	100.00	299	WP_000196697.1	Mph(C) family macrolide 2'-phosphotransferase	NA	NA
G_130175	NA	G_130175_r_74	2469	3932	-	msr(A)	ABC-F type ribosomal protection protein Msr(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	488	488	100.00	99.80	488	WP_000438874.1	ABC-F type ribosomal protection protein Msr(A)	NA	NA
G_130175	NA	G_130175_r_99	54015	54440	+	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	142	142	100.00	99.30	142	WP_002467687.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
G_136566	NA	G_136566_p_7	2	1378	+	tet(K)	tetracycline efflux MFS transporter Tet(K)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	459	459	100.00	100.00	459	WP_000492283.1	tetracycline efflux MFS transporter Tet(K)	NA	NA
G_131987	NA	G_131987_r_11	419077	419559	+	dfrC	trimethoprim-resistant dihydrofolate reductase DfrC	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	161	161	100.00	98.76	161	WP_001830952.1	trimethoprim-resistant dihydrofolate reductase DfrC	NA	NA
G_131987	NA	G_131987_r_13	1354	2085	+	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	244	244	100.00	100.00	244	WP_001003263.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
G_131987	NA	G_131987_r_16	241945	242370	-	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	142	142	100.00	94.37	142	WP_002437790.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
G_131987	NA	G_131987_r_21	58861	59355	-	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.00	100.00	165	WP_000868795.1	trimethoprim-resistant dihydrofolate reductase DfrG	NA	NA
G_131987	NA	G_131987_r_24	62527	62904	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	96.83	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
