Pipolin_ID	Genome_ID	Pipolin_file	Pipolin_length	Contig_length	Genome_length	Contig_name	Contig_description	Contig_AN	Atts	Number_atts	Coordinates_atts	Length_atts	Integration_site	Genome_AN	Genome_file	Organism	Genus	Specie	AssemblyStatus	BiosampleAN	BiosampleID	Biosource	Coverage	Host	isolation_source	SRA	geo_location	Contamination_status
G_49975_0	G_49975	G_49975_0_v0.minimal.single_record.gbk	17634	17634	2329924	G_49975_r_111	Limosilactobacillus reuteri strain R.n.3-A scaffold91, whole genome shotgun sequence	JAJGTL010000091.1	False	0	NA	NA	NA	GCA_020784465.1	GCA_020784465.1_ASM2078446v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN22258658	22258658	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'R.n.3-A'}], 'Sex': '', 'Isolate': ''}	500	Rattus norvegicus	NA	 SRS10629430	Canada:Edmonton	Not_contaminated
G_129276_0	G_129276	G_129276_0_v0.minimal.single_record.gbk	11278	11278	2599800	G_129276_r_24	Staphylococcus epidermidis strain DE0404 NODE_31_length_11278_cov_251.830317, whole genome shotgun sequence	VDTI01000031.1	False	0	NA	NA	NA	GCA_007672825.1	GCA_007672825.1_ASM767282v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Scaffold	SAMN11792564	11792564	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'DE0404'}], 'Sex': '', 'Isolate': ''}	100	not applicable	environmental	NA	USA: North Carolina, Durham	Not_contaminated
G_49978_0	G_49978	G_49978_0_v0.minimal.single_record.gbk	37166	64378	2158995	G_49978_r_59	Limosilactobacillus reuteri strain PNG008A_M scaffold62, whole genome shotgun sequence	JAJGVF010000062.1	False	0	NA	NA	NA	GCA_020785325.1	GCA_020785325.1_ASM2078532v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN22258612	22258612	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'PNG008A_M'}], 'Sex': '', 'Isolate': ''}	500	Homo sapiens	NA	 SRS10629383	Papua New Guinea	Not_contaminated
G_128732_0	G_128732	G_128732_0_v0.minimal.single_record.gbk	9955	9955	2551429	G_128732_r_13	Staphylococcus epidermidis strain 1088_SEPI 16_9955_414801, whole genome shotgun sequence	JWDK01000004.1	False	0	NA	NA	NA	GCA_001068635.1	GCA_001068635.1_ASM106863v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Scaffold	SAMN03197050	3197050	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '1088_SEPI'}], 'Sex': '', 'Isolate': ''}	17	Homo sapiens	missing	 SRS746258	USA: WA	Not_contaminated
G_49661_0	G_49661	G_49661_0_v0.minimal.single_record.gbk	61790	754247	1995968	G_49661_r_10	Ligilactobacillus salivarius GJ-24 LSGJ_2, whole genome shotgun sequence	AFOI01000002.1	False	0	NA	NA	NA	GCA_000217735.2	GCA_000217735.2_ASM21773v2_genomic.fna	Ligilactobacillus salivarius GJ-24 (firmicutes)	Ligilactobacillus	Ligilactobacillus salivarius	Contig	SAMN02470918	2470918	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'GJ-24'}], 'Sex': '', 'Isolate': ''}	1500	NA	NA	NA	NA	Not_contaminated
G_112260_0	G_112260	G_112260_0_v0.minimal.single_record.gbk	11874	11874	2969293	G_112260_r_45	Staphylococcus aureus strain Sau85 NODE_44_length_11874_cov_177.08, whole genome shotgun sequence	JAEVWD010000044.1	False	0	NA	NA	NA	GCA_016832855.1	GCA_016832855.1_ASM1683285v1_genomic.fna	Staphylococcus aureus (firmicutes)	Staphylococcus	Staphylococcus aureus	Scaffold	SAMN17620536	17620536	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'Sau85'}], 'Sex': '', 'Isolate': ''}	123.027	Homo sapiens	Cathether	NA	Taiwan	Not_contaminated
G_49938_0	G_49938	G_49938_0_v0.minimal.single_record.gbk	53999	66919	2050775	G_49938_r_3	Limosilactobacillus reuteri strain PTA4_C4 NODE_12_length_66919_cov_173.683, whole genome shotgun sequence	QKQF01000012.1	False	0	NA	NA	NA	GCA_009389305.1	GCA_009389305.1_ASM938930v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN09280114	9280114	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'PTA4_C4'}], 'Sex': '', 'Isolate': ''}	392.018	chicken	chicken cecum	NA	Switzerland	Not_contaminated
G_49938_1	G_49938	G_49938_1_v0.minimal.single_record.gbk	37102	43759	2050775	G_49938_r_8	Limosilactobacillus reuteri strain PTA4_C4 NODE_17_length_43759_cov_161.952, whole genome shotgun sequence	QKQF01000017.1	False	0	NA	NA	NA	GCA_009389305.1	GCA_009389305.1_ASM938930v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN09280114	9280114	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'PTA4_C4'}], 'Sex': '', 'Isolate': ''}	392.018	chicken	chicken cecum	NA	Switzerland	Not_contaminated
G_49893_0	G_49893	G_49893_0_v0.minimal.single_record.gbk	37383	45819	2045990	G_49893_r_65	Limosilactobacillus reuteri strain PTA5_C13 NODE_15_length_45819_cov_138.576, whole genome shotgun sequence	QKPX01000015.1	False	0	NA	NA	NA	GCA_009389165.1	GCA_009389165.1_ASM938916v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN09280122	9280122	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'PTA5_C13'}], 'Sex': '', 'Isolate': ''}	236.278	chicken	chicken cecum	NA	Switzerland	Not_contaminated
G_131395_0	G_131395	G_131395_0_v0.minimal.single_record.gbk	27970	27970	2448657	G_131395_p_2	Staphylococcus epidermidis strain FDAARGOS_1364 plasmid unnamed2	CP069955.1	False	0	NA	NA	NA	GCA_016903575.1	GCA_016903575.1_ASM1690357v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Complete Genome	SAMN16357506	16357506	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'FDAARGOS_1364'}], 'Sex': '', 'Isolate': ''}	1564.98	missing	missing	 SRS8226067	USA:MD	Not_contaminated
G_129072_0	G_129072	G_129072_0_v0.minimal.single_record.gbk	7988	7988	2527072	G_129072_r_65	Staphylococcus epidermidis strain ATCC 12228 contig18, whole genome shotgun sequence	MTFZ01000018.1	False	0	NA	NA	NA	GCA_001999745.1	GCA_001999745.1_ASM199974v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN05721775	5721775	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'ATCC 12228'}], 'Sex': '', 'Isolate': ''}	106	missing	missing	 SRS1663186	missing	Not_contaminated
G_128858_0	G_128858	G_128858_0_v0.minimal.single_record.gbk	12665	12665	2686782	G_128858_r_88	Staphylococcus epidermidis strain 354_SEPI 800_12665_877802_553+,...,517+, whole genome shotgun sequence	JVKK01000090.1	False	0	NA	NA	NA	GCA_001072495.1	GCA_001072495.1_ASM107249v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Scaffold	SAMN03197544	3197544	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '354_SEPI'}], 'Sex': '', 'Isolate': ''}	12	Homo sapiens	missing	 SRS746752	USA: WA	Not_contaminated
G_49796_0	G_49796	G_49796_0_v0.minimal.single_record.gbk	15050	15050	2179964	G_49796_r_38	Limosilactobacillus reuteri strain 114h 114h_37, whole genome shotgun sequence	NGPL01000037.1	False	0	NA	NA	NA	GCA_002253825.1	GCA_002253825.1_ASM225382v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN06848393	6848393	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '114h'}], 'Sex': '', 'Isolate': ''}	30	mouse	forestomach	NA	France	Not_contaminated
G_128774_0	G_128774	G_128774_0_v0.minimal.single_record.gbk	11836	11836	2602266	G_128774_r_100	Staphylococcus epidermidis strain 1022_SEPI 742_11836_1593311_227+,...,728+, whole genome shotgun sequence	JWFW01000102.1	False	0	NA	NA	NA	GCA_001068475.1	GCA_001068475.1_ASM106847v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Scaffold	SAMN03196986	3196986	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '1022_SEPI'}], 'Sex': '', 'Isolate': ''}	25	Homo sapiens	missing	 SRS746194	USA: WA	Not_contaminated
G_50099_0	G_50099	G_50099_0_v0.minimal.single_record.gbk	14268	14268	2127990	G_50099_r_128	Limosilactobacillus reuteri strain EF1_1 scaffold213, whole genome shotgun sequence	JAJGWJ010000213.1	False	0	NA	NA	NA	GCA_020785915.1	GCA_020785915.1_ASM2078591v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Contig	SAMN22258582	22258582	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'EF1_1'}], 'Sex': '', 'Isolate': ''}	500	Francolin	NA	 SRS10629408	USA:Nebraska	Not_contaminated
G_130950_0	G_130950	G_130950_0_v0.minimal.single_record.gbk	11900	11900	2530547	G_130950_r_35	Staphylococcus epidermidis strain UMB7765 NODE_31_length_11900_cov_86.290580, whole genome shotgun sequence	JAAUWD010000025.1	False	0	NA	NA	NA	GCA_012030625.1	GCA_012030625.1_ASM1203062v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN14478488	14478488	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'UMB7765'}], 'Sex': '', 'Isolate': ''}	190	Homo sapiens	NA	 SRS6392389	USA: Maywood, IL	Not_contaminated
G_6979_0	G_6979	G_6979_0_v0.minimal.single_record.gbk	38563	95937	2881618	G_6979_r_79	Butyricicoccus sp. OM04-18BH OM04-18BH.Scaf9, whole genome shotgun sequence	QULN01000009.1	False	0	NA	NA	NA	GCA_003481705.1	GCA_003481705.1_ASM348170v1_genomic.fna	Butyricicoccus sp. OM04-18BH (firmicutes)	Butyricicoccus	Butyricicoccus sp. OM04-18BH	Scaffold	SAMN09736784	9736784	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'OM04-18BH'}], 'Sex': '', 'Isolate': ''}	100	Homo sapiens	feces	NA	China: Shenzhen	Not_contaminated
G_49830_0	G_49830	G_49830_0_v0.complete.single_record.gbk	17053	182487	2151063	G_49830_r_3	Limosilactobacillus reuteri strain P43 Contig_003, whole genome shotgun sequence	MCNS01000003.1	True	2	['[0:30](-)', '[16678:16708](-)']	[30, 30]	['transfer-messenger RNA, SsrA']	GCA_001705505.1	GCA_001705505.1_ASM170550v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Contig	SAMN05514174	5514174	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'P43'}], 'Sex': '', 'Isolate': ''}	68	Gallus gallus	NA	NA	USA: North Carolina	Not_contaminated
G_50017_0	G_50017	G_50017_0_v0.minimal.single_record.gbk	15414	15414	2088818	G_50017_r_36	Limosilactobacillus reuteri strain FUA 3048 scaffold17, whole genome shotgun sequence	JAJGTO010000017.1	False	0	NA	NA	NA	GCA_020784455.1	GCA_020784455.1_ASM2078445v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN22258655	22258655	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'FUA 3048'}], 'Sex': '', 'Isolate': ''}	500	Rat	NA	 SRS10629426	Canada:Edmonton	Not_contaminated
G_128803_0	G_128803	G_128803_0_v0.minimal.single_record.gbk	23308	23308	2606901	G_128803_r_145	Staphylococcus epidermidis strain 1021.rep2_SEPI 749_23308_1811175_728_,...,656_, whole genome shotgun sequence	JWFX01000149.1	False	0	NA	NA	NA	GCA_001069095.1	GCA_001069095.1_ASM106909v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Scaffold	SAMN03196985	3196985	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '1021.rep2_SEPI'}], 'Sex': '', 'Isolate': ''}	15	Homo sapiens	missing	 SRS746193	USA: WA	Not_contaminated
G_136534_0	G_136534	G_136534_0_v0.minimal.single_record.gbk	8065	8065	2564537	G_136534_r_15	Staphylococcus warneri strain DE0562 NODE_21_length_8065_cov_1003.744439, whole genome shotgun sequence	VDOJ01000021.1	False	0	NA	NA	NA	GCA_007666055.1	GCA_007666055.1_ASM766605v1_genomic.fna	Staphylococcus warneri (firmicutes)	Staphylococcus	Staphylococcus warneri	Scaffold	SAMN11792722	11792722	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'DE0562'}], 'Sex': '', 'Isolate': ''}	100	not applicable	environmental	NA	USA: North Carolina, Durham	Not_contaminated
G_131987_0	G_131987	G_131987_0_v0.minimal.single_record.gbk	3929	3929	2591873	G_131987_r_10	Staphylococcus epidermidis strain 20MB12-1 NODE_19_length_3929_cov_681.329699, whole genome shotgun sequence	JAIMTO010000019.1	False	0	NA	NA	NA	GCA_022003975.1	GCA_022003975.1_ASM2200397v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Scaffold	SAMN20719928	20719928	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '20MB12-1'}], 'Sex': '', 'Isolate': ''}	200	NA	not applicable	NA	China	Not_contaminated
G_130039_0	G_130039	G_130039_0_v0.minimal.single_record.gbk	8839	8839	2543343	G_130039_r_41	Staphylococcus epidermidis strain SESURV_p0_206 NODE_39_length_8839_cov_280.812_ID_6971, whole genome shotgun sequence	VPMD01000039.1	False	0	NA	NA	NA	GCA_010150995.1	GCA_010150995.1_ASM1015099v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN12507678	12507678	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'SESURV_p0_206'}], 'Sex': '', 'Isolate': ''}	123.649	Homo sapiens	L_thumb	 SRS5257554	USA	Not_contaminated
G_107521_0	G_107521	G_107521_0_v0.minimal.single_record.gbk	8927	8927	2811128	G_107521_r_30	Staphylococcus aureus strain SH-WF78 36, whole genome shotgun sequence	JAANWU010000036.1	False	0	NA	NA	NA	GCA_011291885.1	GCA_011291885.1_ASM1129188v1_genomic.fna	Staphylococcus aureus (firmicutes)	Staphylococcus	Staphylococcus aureus	Contig	SAMN14330691	14330691	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'SH-WF78'}], 'Sex': '', 'Isolate': ''}	357	swine	nasal swab	NA	China: Shanghai	Not_contaminated
G_131616_0	G_131616	G_131616_0_v0.minimal.single_record.gbk	10080	10080	2471063	G_131616_r_20	Staphylococcus epidermidis strain C102FS1 NODE_28_length_10080_cov_680.229331, whole genome shotgun sequence	JAINKY010000028.1	False	0	NA	NA	NA	GCA_021993035.1	GCA_021993035.1_ASM2199303v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Scaffold	SAMN20719564	20719564	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'C102FS1'}], 'Sex': '', 'Isolate': ''}	200	NA	not applicable	NA	China	Not_contaminated
G_132482_0	G_132482	G_132482_0_v0.minimal.single_record.gbk	11832	11832	2550395	G_132482_r_51	Staphylococcus haemolyticus genome assembly 7067_4#62, scaffold ERS066304.7067_4_62.51, whole genome shotgun sequence	CUDW01000051.1	False	0	NA	NA	NA	GCA_001227705.1	GCA_001227705.1_7067_4_62_genomic.fna	Staphylococcus haemolyticus (firmicutes)	Staphylococcus	Staphylococcus haemolyticus	Contig	SAMEA1035075	788161	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '51-41'}], 'Sex': '', 'Isolate': ''}	104	Homo sapiens	blood	 ERS066304	Norway	Not_contaminated
G_49930_0	G_49930	G_49930_0_v0.minimal.single_record.gbk	30998	30998	2036693	G_49930_r_29	Limosilactobacillus reuteri strain PTA4_C2 NODE_20_length_30998_cov_405.343, whole genome shotgun sequence	QKQG01000020.1	False	0	NA	NA	NA	GCA_009389325.1	GCA_009389325.1_ASM938932v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN09280113	9280113	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'PTA4_C2'}], 'Sex': '', 'Isolate': ''}	148.496	chicken	chicken cecum	NA	Switzerland	Not_contaminated
G_50048_0	G_50048	G_50048_0_v0.minimal.single_record.gbk	37167	64378	2230458	G_50048_r_25	Limosilactobacillus reuteri strain PNG008_ANA scaffold120, whole genome shotgun sequence	JAJGVG010000120.1	False	0	NA	NA	NA	GCA_020785335.1	GCA_020785335.1_ASM2078533v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN22258611	22258611	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'PNG008_ANA'}], 'Sex': '', 'Isolate': ''}	500	Homo sapiens	NA	 SRS10629382	Papua New Guinea	Not_contaminated
G_131451_0	G_131451	G_131451_0_v0.minimal.single_record.gbk	8656	8656	2472273	G_131451_r_5	Staphylococcus epidermidis strain 009P2SUD1BHI NODE_14_length_8656_cov_595.442709, whole genome shotgun sequence	JAINGN010000014.1	False	0	NA	NA	NA	GCA_021989975.1	GCA_021989975.1_ASM2198997v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Scaffold	SAMN20719893	20719893	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '009P2SUD1BHI'}], 'Sex': '', 'Isolate': ''}	200	NA	not applicable	NA	China	Not_contaminated
G_49868_0	G_49868	G_49868_0_v0.complete.single_record.gbk	16982	33134	2062915	G_49868_r_21	Limosilactobacillus reuteri strain 1366 Ga0133911_1021, whole genome shotgun sequence	NBBG01000021.1	True	2	['[0:30](-)', '[16607:16637](-)']	[30, 30]	['transfer-messenger RNA, SsrA']	GCA_002112185.1	GCA_002112185.1_ASM211218v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN06640221	6640221	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '1366'}], 'Sex': '', 'Isolate': ''}	15	Gallus gallus	feces	NA	Denmark	Not_contaminated
G_50021_0	G_50021	G_50021_0_v0.minimal.single_record.gbk	59000	88201	2279358	G_50021_r_3	Limosilactobacillus reuteri strain LTM_Jesus_1_1 scaffold100, whole genome shotgun sequence	JAJGUS010000100.1	False	0	NA	NA	NA	GCA_020785095.1	GCA_020785095.1_ASM2078509v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN22258625	22258625	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'LTM_Jesus_1_1'}], 'Sex': '', 'Isolate': ''}	500	Lion-tailed Macaque	NA	 SRS10629395	USA:California	Not_contaminated
G_6571_0	G_6571	G_6571_0_v0.minimal.single_record.gbk	61958	272473	3911172	G_6571_r_42	Blautia obeum strain AF14-23 AF14-23.Scaf5, whole genome shotgun sequence	QRZI01000005.1	False	0	NA	NA	NA	GCA_003464645.1	GCA_003464645.1_ASM346464v1_genomic.fna	Blautia obeum (firmicutes)	Blautia	Blautia obeum	Scaffold	SAMN09734254	9734254	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'AF14-23'}], 'Sex': '', 'Isolate': ''}	100	Homo sapiens	feces	NA	China: Shenzhen	Not_contaminated
G_125502_0	G_125502	G_125502_0_v0.minimal.single_record.gbk	11868	11868	2869188	G_125502_r_13	Staphylococcus aureus M0227 genomic scaffold adzpz-supercont1.20, whole genome shotgun sequence	KK006201.1	False	0	NA	NA	NA	GCA_000553835.1	unplaced.scaf.fna	Staphylococcus aureus M0227 (firmicutes)	Staphylococcus	Staphylococcus aureus	Scaffold	SAMN02325273	2325273	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'M0227'}], 'Sex': '', 'Isolate': ''}	93	Homo sapiens	wound	 SRS486975	USA: Boston, MA	Not_contaminated
G_124259_0	G_124259	G_124259_0_v0.minimal.single_record.gbk	8846	8846	2824119	G_124259_r_24	Staphylococcus aureus 56824-5 genomic scaffold adZET-supercont1.24, whole genome shotgun sequence	KK221939.1	False	0	NA	NA	NA	GCA_000638075.1	unplaced.scaf.fna	Staphylococcus aureus 56824-5 (firmicutes)	Staphylococcus	Staphylococcus aureus	Scaffold	SAMN02391235	2391235	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '56824-5'}], 'Sex': '', 'Isolate': ''}	90	Bos taurus	bodily fluid	 SRS613194	Italy	Not_contaminated
G_49758_0	G_49758	G_49758_0_v0.minimal.single_record.gbk	10562	10562	2082789	G_49758_r_46	Limosilactobacillus panis DSM 6035 contig_14, whole genome shotgun sequence	LDPB01000014.1	False	0	NA	NA	NA	GCA_001027985.1	GCA_001027985.1_ASM102798v1_genomic.fna	Limosilactobacillus panis DSM 6035 (firmicutes)	Limosilactobacillus	Limosilactobacillus panis	Contig	SAMN03658566	3658566	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'DSM 6035'}], 'Sex': '', 'Isolate': ''}	1366	NA	sourdough	NA	Germany	Not_contaminated
G_50003_0	G_50003	G_50003_0_v0.minimal.single_record.gbk	37166	64378	2158617	G_50003_r_60	Limosilactobacillus reuteri strain PB-W1 scaffold63, whole genome shotgun sequence	JAJGVH010000063.1	False	0	NA	NA	NA	GCA_020785355.1	GCA_020785355.1_ASM2078535v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Scaffold	SAMN22258610	22258610	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'PB-W1'}], 'Sex': '', 'Isolate': ''}	500	Homo sapiens	NA	 SRS10629384	Papua New Guinea	Not_contaminated
G_136514_0	G_136514	G_136514_0_v0.minimal.single_record.gbk	8065	8065	2559109	G_136514_r_6	Staphylococcus warneri strain DE0574 NODE_15_length_8065_cov_557.343289, whole genome shotgun sequence	VDNY01000015.1	False	0	NA	NA	NA	GCA_007665805.1	GCA_007665805.1_ASM766580v1_genomic.fna	Staphylococcus warneri (firmicutes)	Staphylococcus	Staphylococcus warneri	Scaffold	SAMN11792734	11792734	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'DE0574'}], 'Sex': '', 'Isolate': ''}	100	not applicable	environmental	NA	USA: North Carolina, Durham	Not_contaminated
G_130008_0	G_130008	G_130008_0_v0.minimal.single_record.gbk	8839	8839	2543540	G_130008_r_42	Staphylococcus epidermidis strain SESURV_p0_211 NODE_39_length_8839_cov_325.778_ID_5409, whole genome shotgun sequence	VPMI01000039.1	False	0	NA	NA	NA	GCA_010150905.1	GCA_010150905.1_ASM1015090v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN12507683	12507683	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'SESURV_p0_211'}], 'Sex': '', 'Isolate': ''}	140.386	Homo sapiens	L_thumb	 SRS5257559	USA	Not_contaminated
G_128855_0	G_128855	G_128855_0_v0.minimal.single_record.gbk	10240	10240	2566575	G_128855_r_79	Staphylococcus epidermidis strain 422.rep1_SEPI 769_10240_1472490_688+,...,680+, whole genome shotgun sequence	JVHS01000079.1	False	0	NA	NA	NA	GCA_001072875.1	GCA_001072875.1_ASM107287v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Scaffold	SAMN03197614	3197614	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '422.rep1_SEPI'}], 'Sex': '', 'Isolate': ''}	13	Homo sapiens	missing	 SRS746823	USA: WA	Not_contaminated
G_128910_0	G_128910	G_128910_0_v0.minimal.single_record.gbk	9895	9895	2520933	G_128910_r_23	Staphylococcus epidermidis strain 749_SEPI 1135_9895_673672, whole genome shotgun sequence	JUUP01000151.1	False	0	NA	NA	NA	GCA_001074185.1	GCA_001074185.1_ASM107418v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Contig	SAMN03197955	3197955	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '749_SEPI'}], 'Sex': '', 'Isolate': ''}	13	Homo sapiens	missing	 SRS747163	USA: WA	Not_contaminated
G_128856_0	G_128856	G_128856_0_v0.minimal.single_record.gbk	9915	9915	2545236	G_128856_r_11	Staphylococcus epidermidis strain 623_SEPI 1168_9915_920030_254+,535_,1065_, whole genome shotgun sequence	JUZR01000081.1	False	0	NA	NA	NA	GCA_001073595.1	GCA_001073595.1_ASM107359v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Scaffold	SAMN03197823	3197823	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': '623_SEPI'}], 'Sex': '', 'Isolate': ''}	24	Homo sapiens	missing	 SRS747029	USA: WA	Not_contaminated
G_129016_0	G_129016	G_129016_0_v0.minimal.single_record.gbk	4296	4296	2742158	G_129016_r_38	Staphylococcus epidermidis strain SCH-17 PROKKA_contig000038, whole genome shotgun sequence	PEJG01000038.1	False	0	NA	NA	NA	GCA_002750045.1	GCA_002750045.1_ASM275004v1_genomic.fna	Staphylococcus epidermidis (firmicutes)	Staphylococcus	Staphylococcus epidermidis	Scaffold	SAMN07839770	7839770	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'SCH-17'}], 'Sex': '', 'Isolate': ''}	70	Homo sapiens	Neck/Axilla	NA	USA: New Orleans, LA	Not_contaminated
G_50100_0	G_50100	G_50100_0_v0.complete.single_record.gbk	18990	37803	2259276	G_50100_r_139	Limosilactobacillus reuteri strain GQ_1_2_1 scaffold223, whole genome shotgun sequence	JAJGWC010000223.1	True	3	['[0:23](+)', '[9778:9791](+)', '[18910:18934](+)']	[23, 13, 24]	['tRNA-Thr']	GCA_020785755.1	GCA_020785755.1_ASM2078575v1_genomic.fna	Limosilactobacillus reuteri (firmicutes)	Limosilactobacillus	Limosilactobacillus reuteri	Contig	SAMN22258589	22258589	{'InfraspeciesList': [{'Sub_type': 'strain', 'Sub_value': 'GQ_1_2_1'}], 'Sex': '', 'Isolate': ''}	500	Quail	NA	 SRS10629360	USA:Nebraska	Not_contaminated
