protein_ID	InterproScan
G_45356_0_32_Hespellia_stercorisuis	consensus disorder prediction, -
G_109018_0_13_Staphylococcus_aureus	HTH domain, Helix-turn-helix, type 11
G_109006_0_3_Staphylococcus_aureus	HTH domain, Helix-turn-helix, type 11
G_132877_0_8_Staphylococcus_hominis	consensus disorder prediction, -, Coil
G_49584_0_10_Limosilactobacillus_agrestis	Alpha/beta hydrolase family, Alpha/beta hydrolase fold-5, alpha/beta hydrolase, Alpha/Beta hydrolase fold, alpha/beta-Hydrolases
G_169491_0_2_Trichococcus_ilyis	Ribosomal protein S10 signature., Ribosomal protein S10, conserved site, rpsJ_bact: ribosomal protein uS10, Ribosomal protein S10, Ribosomal protein S10 domain superfamily, 30S RIBOSOMAL PROTEIN S10 FAMILY MEMBER, 30S ribosomal protein S10 [rpsJ]., Ribosomal protein S10 family signature, Ribosomal protein S10p/S20e, Ribosomal protein S10 domain, 37S RIBOSOMAL PROTEIN S10, MITOCHONDRIAL, -, Ribosomal_S10_2
G_169371_0_58_Trichococcus_ilyis	Ribosomal protein S10 signature., Ribosomal protein S10, conserved site, rpsJ_bact: ribosomal protein uS10, Ribosomal protein S10, Ribosomal protein S10 domain superfamily, 30S RIBOSOMAL PROTEIN S10 FAMILY MEMBER, 30S ribosomal protein S10 [rpsJ]., Ribosomal protein S10 family signature, Ribosomal protein S10p/S20e, Ribosomal protein S10 domain, 37S RIBOSOMAL PROTEIN S10, MITOCHONDRIAL, -, Ribosomal_S10_2
G_6583_0_27_Blautia_obeum	Domain of unknown function (DUF1788), BREX protein BrxB
G_132420_0_2_Staphylococcus_haemolyticus	Flavoproteins, Flavoprotein-like superfamily, CHROMATE REDUCTASE, -, NADPH-dependent FMN reductase, NADPH-dependent FMN reductase-like, NAD(P)H-DEPENDENT FMN REDUCTASE LOT6
G_50021_0_34_Limosilactobacillus_reuteri	PHOSPHOPENTOMUTASE, Phosphopentomutase, Alkaline Phosphatase, subunit A, Alkaline-phosphatase-like, core domain superfamily, Ppentomutase, Phosphopentomutase DeoB cap domain superfamily, DeoB insert domain-like, Alkaline phosphatase-like, Metalloenzyme superfamily, Metalloenzyme, PPM, Phosphopentomutase [deoB]., deoB: phosphopentomutase
G_132515_0_25_Staphylococcus_haemolyticus	Protein of unknown function (DUF3055), Protein of unknown function DUF3055
G_105661_0_11_Staphylococcus_aureus	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_49868_0_5_Limosilactobacillus_reuteri	consensus disorder prediction, -
G_49782_0_15_Limosilactobacillus_reuteri	consensus disorder prediction, -
G_49819_0_15_Limosilactobacillus_reuteri	consensus disorder prediction, -
G_50021_0_42_Limosilactobacillus_reuteri	Magnesium transport protein CorA, transmembrane region, CorA, transmembrane region, EcCorA_ZntB-like_u2, -, CorA-like Mg2+ transporter protein, Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB, CorA soluble domain-like, CorA, cytoplasmic domain, TRANSPORTER-RELATED
G_49661_0_31_Ligilactobacillus_salivarius	UNCHARACTERIZED, Glu-tRNAGln amidotransferase C subunit, Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C [gatC]., -, gatC: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit, GLUTAMYL-TRNA(GLN) AMIDOTRANSFERASE SUBUNIT C, MITOCHONDRIAL, Glu-tRNAGln amidotransferase superfamily, subunit C
G_132856_0_8_Contaminated	Coil, -
G_49810_0_23_Limosilactobacillus_reuteri	alpha/beta hydrolase, Alpha/Beta hydrolase fold, Serine hydrolase, Putative hydrolase RBBP9/YdeN, alpha/beta-Hydrolases, -
G_49991_0_14_Limosilactobacillus_reuteri	alpha/beta hydrolase, Alpha/Beta hydrolase fold, Serine hydrolase, Putative hydrolase RBBP9/YdeN, alpha/beta-Hydrolases, -
G_49852_0_20_Limosilactobacillus_reuteri	alpha/beta hydrolase, Alpha/Beta hydrolase fold, Serine hydrolase, Putative hydrolase RBBP9/YdeN, alpha/beta-Hydrolases, -
G_49852_0_8_Limosilactobacillus_reuteri	PHOSPHOPENTOMUTASE, Phosphopentomutase, DeoB insert domain-like, Phosphopentomutase DeoB cap domain superfamily, Ppentomutase, Alkaline Phosphatase, subunit A, Alkaline-phosphatase-like, core domain superfamily, Metalloenzyme superfamily, Metalloenzyme, Alkaline phosphatase-like
G_50090_0_28_Limosilactobacillus_reuteri	Septum formation initiator, Septum formation initiator FtsL/DivIC, CELL DIVISION PROTEIN DIVIC, Cell division protein DivIC, consensus disorder prediction, -, Coil
G_49975_0_8_Limosilactobacillus_reuteri	Family of unknown function (DUF5388), Protein of unknown function DUF5388
G_50052_0_10_Limosilactobacillus_reuteri	Family of unknown function (DUF5388), Protein of unknown function DUF5388
G_50030_0_8_Limosilactobacillus_reuteri	Family of unknown function (DUF5388), Protein of unknown function DUF5388
G_50091_0_17_Limosilactobacillus_reuteri	HxlR-like helix-turn-helix, Helix-turn-helix, HxlR type, "Winged helix" DNA-binding domain, Winged helix DNA-binding domain superfamily, -, Winged helix-like DNA-binding domain superfamily, TRANSCRIPTIONAL REGULATOR, MARR FAMILY, HxlR-type HTH domain profile.
G_49984_0_17_Limosilactobacillus_reuteri	HxlR-like helix-turn-helix, Helix-turn-helix, HxlR type, "Winged helix" DNA-binding domain, Winged helix DNA-binding domain superfamily, -, Winged helix-like DNA-binding domain superfamily, TRANSCRIPTIONAL REGULATOR, MARR FAMILY, HxlR-type HTH domain profile.
G_50173_0_17_Limosilactobacillus_reuteri	HxlR-like helix-turn-helix, Helix-turn-helix, HxlR type, "Winged helix" DNA-binding domain, Winged helix DNA-binding domain superfamily, -, Winged helix-like DNA-binding domain superfamily, TRANSCRIPTIONAL REGULATOR, MARR FAMILY, HxlR-type HTH domain profile.
G_50095_0_17_Limosilactobacillus_reuteri	HxlR-like helix-turn-helix, Helix-turn-helix, HxlR type, "Winged helix" DNA-binding domain, Winged helix DNA-binding domain superfamily, -, Winged helix-like DNA-binding domain superfamily, TRANSCRIPTIONAL REGULATOR, MARR FAMILY, HxlR-type HTH domain profile.
G_50090_0_17_Limosilactobacillus_reuteri	HxlR-like helix-turn-helix, Helix-turn-helix, HxlR type, "Winged helix" DNA-binding domain, Winged helix DNA-binding domain superfamily, -, Winged helix-like DNA-binding domain superfamily, TRANSCRIPTIONAL REGULATOR, MARR FAMILY, HxlR-type HTH domain profile.
G_49893_0_26_Limosilactobacillus_reuteri	Resolvase, N terminal domain, Resolvase, N-terminal catalytic domain, -, Resolvase-like, N-terminal catalytic domain superfamily, Resolvase-like
G_132206_0_4_Staphylococcus_epidermidis	-, SERINE RECOMBINASE PINE-RELATED, resolvase_6, Resolvase, N-terminal catalytic domain, Site-specific recombinases signature 2., Recombinase, conserved site, Resolvase/invertase-type recombinase catalytic domain profile., Resolvase-like, Resolvase-like, N-terminal catalytic domain superfamily, Resolvase, N terminal domain, Site-specific recombinases active site., SR_ResInv, DNA-INVERTASE FROM LAMBDOID PROPHAGE
G_132244_0_7_Staphylococcus_epidermidis	-, SERINE RECOMBINASE PINE-RELATED, resolvase_6, Resolvase, N-terminal catalytic domain, Site-specific recombinases signature 2., Recombinase, conserved site, Resolvase/invertase-type recombinase catalytic domain profile., Resolvase-like, Resolvase-like, N-terminal catalytic domain superfamily, Resolvase, N terminal domain, Site-specific recombinases active site., SR_ResInv, DNA-INVERTASE FROM LAMBDOID PROPHAGE
G_132282_0_4_Staphylococcus_epidermidis	-, SERINE RECOMBINASE PINE-RELATED, resolvase_6, Resolvase, N-terminal catalytic domain, Site-specific recombinases signature 2., Recombinase, conserved site, Resolvase/invertase-type recombinase catalytic domain profile., Resolvase-like, Resolvase-like, N-terminal catalytic domain superfamily, Resolvase, N terminal domain, Site-specific recombinases active site., SR_ResInv, DNA-INVERTASE FROM LAMBDOID PROPHAGE
G_129072_0_7_Staphylococcus_epidermidis	-, SERINE RECOMBINASE PINE-RELATED, resolvase_6, Resolvase, N-terminal catalytic domain, Site-specific recombinases signature 2., Recombinase, conserved site, Resolvase/invertase-type recombinase catalytic domain profile., Resolvase-like, Resolvase-like, N-terminal catalytic domain superfamily, Resolvase, N terminal domain, Site-specific recombinases active site., SR_ResInv, DNA-INVERTASE FROM LAMBDOID PROPHAGE
G_99958_0_20_Porcincola_intestinalis	MFS_MefA_like, -, MFS general substrate transporter like domains, MFS transporter superfamily, 2A0121: H+ Antiporter protein, Drug antiporter protein, Major Facilitator Superfamily, Major facilitator superfamily, MFS general substrate transporter, MACROLIDE-EFFLUX PROTEIN, LYSOPHOSPHOLIPID TRANSPORTER LPLT, Major facilitator superfamily (MFS) profile., Major facilitator superfamily domain
G_131247_0_15_Staphylococcus_epidermidis	DNA/RNA polymerases, DNA/RNA polymerase superfamily, Palm domain of DNA polymerase, DNA polymerase, palm domain superfamily
G_6979_0_29_Butyricicoccus_sp._OM04-18BH	TetR-type HTH domain profile., DNA-binding HTH domain, TetR-type, HTH-TYPE TRANSCRIPTIONAL REGULATOR RUTR, -, SLL1392 PROTEIN, TetR-type HTH domain signature., DNA-binding HTH domain, TetR-type, conserved site, Homeodomain-like, Homeobox-like domain superfamily, Bacterial regulatory proteins, tetR family, Tetracycline Repressor, domain 2
G_107521_0_7_Staphylococcus_aureus	SR_ResInv, -, Resolvase/invertase-type recombinase catalytic domain profile., Resolvase, N-terminal catalytic domain, Resolvase, N terminal domain, DNA-INVERTASE FROM LAMBDOID PROPHAGE, Site-specific recombinases active site., Recombinase, conserved site, resolvase_6, Coil, Resolvase-like, N-terminal catalytic domain superfamily, SERINE RECOMBINASE PINE-RELATED, Resolvase-like
G_107595_0_5_Staphylococcus_aureus	SR_ResInv, -, Resolvase/invertase-type recombinase catalytic domain profile., Resolvase, N-terminal catalytic domain, Resolvase, N terminal domain, DNA-INVERTASE FROM LAMBDOID PROPHAGE, Site-specific recombinases active site., Recombinase, conserved site, resolvase_6, Coil, Resolvase-like, N-terminal catalytic domain superfamily, SERINE RECOMBINASE PINE-RELATED, Resolvase-like
G_107602_0_7_Staphylococcus_aureus	SR_ResInv, -, Resolvase/invertase-type recombinase catalytic domain profile., Resolvase, N-terminal catalytic domain, Resolvase, N terminal domain, DNA-INVERTASE FROM LAMBDOID PROPHAGE, Site-specific recombinases active site., Recombinase, conserved site, resolvase_6, Coil, Resolvase-like, N-terminal catalytic domain superfamily, SERINE RECOMBINASE PINE-RELATED, Resolvase-like
G_49792_0_2_Limosilactobacillus_reuteri	Coil, -
G_49844_0_2_Limosilactobacillus_reuteri	Coil, -
G_49991_0_1_Limosilactobacillus_reuteri	CADMIUM/ZINC-TRANSPORTING ATPASE HMA2-RELATED, -, HAD-like, HAD-like superfamily, P-type cation-transporting ATPase superfamily signature, CADMIUM/ZINC-TRANSPORTING ATPASE HMA2, H+-transporting ATPase (proton pump) signature, P-type ATPase, ATPase_P-type: HAD ATPase, P-type, family IC, haloacid dehalogenase-like hydrolase, HAD superfamily
G_131022_0_7_Staphylococcus_epidermidis	Coil, -, consensus disorder prediction
G_124259_0_7_Staphylococcus_aureus	Coil, -, consensus disorder prediction
G_128724_0_8_Staphylococcus_epidermidis	Coil, -, consensus disorder prediction
G_131616_0_3_Staphylococcus_epidermidis	Coil, -, consensus disorder prediction
G_131009_0_9_Staphylococcus_epidermidis	Coil, -, consensus disorder prediction
G_112260_0_7_Staphylococcus_aureus	Coil, -, consensus disorder prediction
G_131011_0_1_Staphylococcus_epidermidis	Coil, -, consensus disorder prediction
G_50090_0_16_Limosilactobacillus_reuteri	L,D-transpeptidase catalytic domain, -, L,D-transpeptidase central domain-like superfamily, L,D-transpeptidase pre-catalytic domain-like, L,D-transpeptidase catalytic domain-like, Putative peptidoglycan binding domain, L,D-TRANSPEPTIDASE, YkuD_like, L,D-TRANSPEPTIDASE YCIB-RELATED
G_50095_0_15_Limosilactobacillus_reuteri	L,D-transpeptidase catalytic domain, -, L,D-transpeptidase central domain-like superfamily, L,D-transpeptidase pre-catalytic domain-like, L,D-transpeptidase catalytic domain-like, Putative peptidoglycan binding domain, L,D-TRANSPEPTIDASE, YkuD_like, L,D-TRANSPEPTIDASE YCIB-RELATED
G_49984_0_15_Limosilactobacillus_reuteri	L,D-transpeptidase catalytic domain, -, L,D-transpeptidase central domain-like superfamily, L,D-transpeptidase pre-catalytic domain-like, L,D-transpeptidase catalytic domain-like, Putative peptidoglycan binding domain, L,D-TRANSPEPTIDASE, YkuD_like, L,D-TRANSPEPTIDASE YCIB-RELATED
G_50173_0_15_Limosilactobacillus_reuteri	L,D-transpeptidase catalytic domain, -, L,D-transpeptidase central domain-like superfamily, L,D-transpeptidase pre-catalytic domain-like, L,D-transpeptidase catalytic domain-like, Putative peptidoglycan binding domain, L,D-TRANSPEPTIDASE, YkuD_like, L,D-TRANSPEPTIDASE YCIB-RELATED
G_50091_0_15_Limosilactobacillus_reuteri	L,D-transpeptidase catalytic domain, -, L,D-transpeptidase central domain-like superfamily, L,D-transpeptidase pre-catalytic domain-like, L,D-transpeptidase catalytic domain-like, Putative peptidoglycan binding domain, L,D-TRANSPEPTIDASE, YkuD_like, L,D-TRANSPEPTIDASE YCIB-RELATED
G_50160_0_4_Limosilactobacillus_reuteri	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_50099_0_9_Limosilactobacillus_reuteri	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_97256_0_45_Loigolactobacillus_backii	UNIVERSAL STRESS PROTEIN SAOUHSC_01819-RELATED, -, UspA, Universal stress protein A family, Universal stress protein signature, Adenine nucleotide alpha hydrolases-like, Universal stress protein family, HUPs, Rossmann-like alpha/beta/alpha sandwich fold, USP_Like, STRESS RESPONSE PROTEIN NHAX
G_49593_1_13_Limosilactobacillus_coleohominis	consensus disorder prediction, -
G_109018_0_2_Staphylococcus_aureus	DNA/RNA polymerases, DNA/RNA polymerase superfamily, Palm domain of DNA polymerase, DNA polymerase, palm domain superfamily
G_109006_0_15_Staphylococcus_aureus	DNA/RNA polymerases, DNA/RNA polymerase superfamily, Palm domain of DNA polymerase, DNA polymerase, palm domain superfamily
G_99958_0_33_Porcincola_intestinalis	-, CELL SURFACE PROTEIN, WD40/YVTN repeat-like-containing domain superfamily, PQQ-like domain, Pyrrolo-quinoline quinone repeat, Quinoprotein alcohol dehydrogenase-like, Quinoprotein alcohol dehydrogenase-like superfamily
G_49584_0_36_Limosilactobacillus_agrestis	Ribonuclease H-like, Ribonuclease H-like superfamily, -, Ribonuclease H superfamily
G_50100_1_9_Limosilactobacillus_reuteri	Family of unknown function (DUF5388), Protein of unknown function DUF5388
G_50089_1_9_Limosilactobacillus_reuteri	Family of unknown function (DUF5388), Protein of unknown function DUF5388
G_50166_1_9_Limosilactobacillus_reuteri	Family of unknown function (DUF5388), Protein of unknown function DUF5388
G_97256_0_15_Loigolactobacillus_backii	MreC, Rod shape-determining protein MreC, Coil, -, CELL SHAPE-DETERMINING PROTEIN MREC, Cell/Rod shape-determining protein MreC, domain 1, Cell/Rod shape-determining protein MreC, domain 2, mreC: rod shape-determining protein MreC, rod shape-determining protein MreC
G_49661_0_25_Ligilactobacillus_salivarius	DNA-binding domain, DNA-binding domain superfamily, Core-binding (CB) domain profile., Core-binding (CB) domain, PHAGE INTEGRASE-RELATED, -, DNA breaking-rejoining enzymes, DNA breaking-rejoining enzyme, catalytic core, Classic Zinc Finger, INT_ICEBs1_C_like, Phage integrase, N-terminal SAM-like domain, Integrase, SAM-like, N-terminal, Integrase/recombinase, N-terminal, DNA binding domain of tn916 integrase, Integrase, Tn916-type, N-terminal DNA binding, Tyrosine recombinase domain profile., Integrase, catalytic domain, Phage integrase family, Intergrase catalytic core, Integrase-like, catalytic domain superfamily
G_48209_0_1_Lactobacillus_sp._UMNPBX2	DNA-binding domain, DNA-binding domain superfamily, Core-binding (CB) domain profile., Core-binding (CB) domain, PHAGE INTEGRASE-RELATED, -, DNA breaking-rejoining enzymes, DNA breaking-rejoining enzyme, catalytic core, Classic Zinc Finger, INT_ICEBs1_C_like, Phage integrase, N-terminal SAM-like domain, Integrase, SAM-like, N-terminal, Integrase/recombinase, N-terminal, DNA binding domain of tn916 integrase, Integrase, Tn916-type, N-terminal DNA binding, Tyrosine recombinase domain profile., Integrase, catalytic domain, Phage integrase family, Intergrase catalytic core, Integrase-like, catalytic domain superfamily
G_49852_0_44_Limosilactobacillus_reuteri	Mucin binding domain, consensus disorder prediction, -, YSIRK type signal peptide, YSIRK Gram-positive signal peptide, Gram-positive cocci surface proteins LPxTG motif profile., LPXTG cell wall anchor domain, Muc B2-like domain, Mub B2-like domain, YSIRK_signal: gram-positive signal peptide, YSIRK family, LPXTG cell wall anchor motif
G_49955_1_15_Limosilactobacillus_reuteri	Coil, -
G_136514_0_9_Staphylococcus_warneri	Coil, -, DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_46088_0_32_Lacticaseibacillus_zeae	HTH_XRE, Cro/C1-type helix-turn-helix domain, -, Lambda repressor-like, DNA-binding domain superfamily, Cro/C1-type HTH DNA-binding domain, lambda repressor-like DNA-binding domains, mbf_short4, Cro/C1-type HTH domain profile.
G_49885_0_18_Limosilactobacillus_reuteri	SHIKIMATE TRANSPORTER, -, INNER MEMBRANE METABOLITE TRANSPORT PROTEIN YHJE, Major facilitator superfamily (MFS) profile., Major facilitator superfamily domain, Sugar (and other) transporter, Major facilitator,  sugar transporter-like, MFS general substrate transporter, MFS transporter superfamily, MFS general substrate transporter like domains
G_49851_0_1_Limosilactobacillus_reuteri	-, P-loop containing nucleoside triphosphate hydrolase, SF2_C, RAD25/XP-B DNA REPAIR HELICASE, Type III restriction enzyme, res subunit, Helicase/UvrB, N-terminal, ultradead3, Helicase superfamily 1/2, ATP-binding domain, Coil, DEXHc_RE, Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile., P-loop containing nucleoside triphosphate hydrolases
G_49951_0_1_Limosilactobacillus_reuteri	-, P-loop containing nucleoside triphosphate hydrolase, SF2_C, RAD25/XP-B DNA REPAIR HELICASE, Type III restriction enzyme, res subunit, Helicase/UvrB, N-terminal, ultradead3, Helicase superfamily 1/2, ATP-binding domain, Coil, DEXHc_RE, Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile., P-loop containing nucleoside triphosphate hydrolases
G_49853_0_21_Limosilactobacillus_reuteri	-, P-loop containing nucleoside triphosphate hydrolase, SF2_C, RAD25/XP-B DNA REPAIR HELICASE, Type III restriction enzyme, res subunit, Helicase/UvrB, N-terminal, ultradead3, Helicase superfamily 1/2, ATP-binding domain, Coil, DEXHc_RE, Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile., P-loop containing nucleoside triphosphate hydrolases
G_50113_0_6_Limosilactobacillus_reuteri	lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, HTH_XRE, Cro/C1-type helix-turn-helix domain, Coil, -, Cro/C1-type HTH domain profile., mbf_short4, Helix-turn-helix
G_50133_0_6_Limosilactobacillus_reuteri	lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, HTH_XRE, Cro/C1-type helix-turn-helix domain, Coil, -, Cro/C1-type HTH domain profile., mbf_short4, Helix-turn-helix
G_100623_0_26_Ruminococcus_sp._AF31-16BH	Protein of unknown function (DUF819), Protein of unknown function DUF819, PROTEIN, PUTATIVE (DUF819)-RELATED, -
G_49593_1_39_Limosilactobacillus_coleohominis	50S ribosomal protein L7/L12 [rplL]., Ribosomal protein L7/L12, Ribosomal_L7_L12, Ribosomal protein L7/L12 C-terminal domain, Ribosomal protein L7/L12, C-terminal, Ribosomal protein L7/12, oligomerisation (N-terminal) domain, Ribosomal protein L7/L12, oligomerisation domain superfamily, -, Ribosomal protein L7/L12, C-terminal/adaptor protein ClpS-like, Ribosomal protein L7/L12 dimerisation domain, Ribosomal protein L7/L12, oligomerisation, 39S RIBOSOMAL PROTEIN L12, 50S RIBOSOMAL PROTEIN L12-1, CHLOROPLASTIC-RELATED, L12: ribosomal protein bL12, Single helix bin, ClpS-like
G_49723_0_20_Limosilactobacillus_oris	DNAC_TnpB_IstB, DNA replication protein DnaC/insertion sequence putative ATP-binding protein, CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA, -, ATP-BINDING PROTEIN RV3427C IN INSERTION SEQUENCE-RELATED, AAA_5, AAA+ ATPase domain, IstB-like ATP binding protein, IstB-like ATP-binding protein, P-loop containing nucleoside triphosphate hydrolases, P-loop containing nucleoside triphosphate hydrolase, AAA
G_107521_0_12_Staphylococcus_aureus	DNA/RNA polymerases, DNA/RNA polymerase superfamily
G_49930_0_20_Limosilactobacillus_reuteri	Domain of unknown function (DUF3173), Protein of unknown function DUF3173
G_49753_0_2_Limosilactobacillus_ingluviei	Domain of unknown function (DUF3173), Protein of unknown function DUF3173
G_21819_0_6_Clostridium_sp._SY8519	consensus disorder prediction, -, Family of unknown function (DUF438), Domain of unknown function DUF438, PAS domain, SP0561-like, ScdA-like, N-terminal domain superfamily, nmb1532 protein domain like, Domain of unknown function (DUF1858), Domain of unknown function DUF1858, BLL2471 PROTEIN-RELATED, Hemerythrin HHE cation binding domain, Hemerythrin-like, PAS/PAC SENSOR PROTEIN-RELATED
G_50021_0_28_Limosilactobacillus_reuteri	OXALATE/FORMATE ANTIPORTER, -, Major facilitator superfamily (MFS) profile., Major facilitator superfamily domain, MFS general substrate transporter like domains, MFS transporter superfamily, MFS general substrate transporter, MFS_OFA_like, Major Facilitator Superfamily, Major facilitator superfamily, MONOCARBOXYLATE TRANSPORTER
G_50019_0_15_Limosilactobacillus_reuteri	OXALATE/FORMATE ANTIPORTER, -, Major facilitator superfamily (MFS) profile., Major facilitator superfamily domain, MFS general substrate transporter like domains, MFS transporter superfamily, MFS general substrate transporter, MFS_OFA_like, Major Facilitator Superfamily, Major facilitator superfamily, MONOCARBOXYLATE TRANSPORTER
G_49852_1_9_Limosilactobacillus_reuteri	-, YefM-like, YefM-like superfamily
G_132420_0_1_Staphylococcus_haemolyticus	Coil, -, consensus disorder prediction, YSIRK_signal: gram-positive signal peptide, YSIRK family, YSIRK Gram-positive signal peptide, YSIRK type signal peptide
G_48117_0_15_Lactobacillus_sp._M31	INT_ICEBs1_C_like, -, Phage integrase, N-terminal SAM-like domain, Integrase, SAM-like, N-terminal, Intergrase catalytic core, Integrase-like, catalytic domain superfamily, Integrase/recombinase, N-terminal, PHAGE INTEGRASE-RELATED, Phage integrase family, Integrase, catalytic domain, DNA breaking-rejoining enzymes, DNA breaking-rejoining enzyme, catalytic core, Tyrosine recombinase domain profile.
G_6710_0_56_Blautia_obeum	consensus disorder prediction, -
G_132856_0_4_Contaminated	Domain of unknown function (DUF334), Protein of unknown function DUF334
G_49877_0_4_Limosilactobacillus_reuteri	Coil, -, consensus disorder prediction, Relaxase/Mobilisation nuclease domain, Endonuclease relaxase, MobA/VirD2
G_49830_0_4_Limosilactobacillus_reuteri	Coil, -, consensus disorder prediction, Relaxase/Mobilisation nuclease domain, Endonuclease relaxase, MobA/VirD2
G_136553_0_9_Staphylococcus_warneri	Coil, -, consensus disorder prediction
G_136560_0_2_Staphylococcus_warneri	Coil, -, consensus disorder prediction
G_6710_0_46_Blautia_obeum	trmU: tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase, tRNA-specific 2-thiouridylase, tRNA-specific 2-thiouridylase MnmA [mnmA]., tRNA methyl transferase, -, TRNA  5-METHYLAMINOMETHYL-2-THIOURIDYLATE -METHYLTRANSFERASE, Translation factors, Adenine nucleotide alpha hydrolases-like, tRNA_Me_trans, Adenine nucleotide alpha hydrolase-like domains, MITOCHONDRIAL TRNA-SPECIFIC 2-THIOURIDYLASE 1, HUPs, Rossmann-like alpha/beta/alpha sandwich fold
G_48777_0_3_Lentilactobacillus_kisonensis	mbf_short4, Cro/C1-type helix-turn-helix domain, Helix-turn-helix, HTH_XRE, Cro/C1-type HTH domain profile., lambda repressor-like DNA-binding domains, Lambda repressor-like, DNA-binding domain superfamily, HTH-TYPE TRANSCRIPTIONAL REGULATOR, -
G_49909_0_3_Limosilactobacillus_reuteri	INT_ICEBs1_C_like, -, PHAGE INTEGRASE-RELATED, Phage integrase family, Integrase, catalytic domain, Phage integrase, N-terminal SAM-like domain, Integrase, SAM-like, N-terminal, DNA breaking-rejoining enzymes, DNA breaking-rejoining enzyme, catalytic core, Integrase/recombinase, N-terminal, Intergrase catalytic core, Integrase-like, catalytic domain superfamily, Tyrosine recombinase domain profile.
G_49956_0_3_Limosilactobacillus_reuteri	INT_ICEBs1_C_like, -, PHAGE INTEGRASE-RELATED, Phage integrase family, Integrase, catalytic domain, Phage integrase, N-terminal SAM-like domain, Integrase, SAM-like, N-terminal, DNA breaking-rejoining enzymes, DNA breaking-rejoining enzyme, catalytic core, Integrase/recombinase, N-terminal, Intergrase catalytic core, Integrase-like, catalytic domain superfamily, Tyrosine recombinase domain profile.
G_49986_0_19_Limosilactobacillus_reuteri	Alpha-L RNA-binding motif, -, S4, RNA-binding S4 domain, Tyrosyl-tRNA synthetase signature, Tyrosine-tRNA ligase, Aminoacyl-transfer RNA synthetases class-I signature., Aminoacyl-tRNA synthetase, class I, conserved site, tRNA synthetases class I (W and Y), Aminoacyl-tRNA synthetase, class Ic, TYROSINE--TRNA LIGASE, MITOCHONDRIAL, TYROSYL-TRNA SYNTHETASE, Tyrosine-tRNA ligase, bacterial-type, S4 domain, S4 RNA-binding domain profile., Tyrosine--tRNA ligase [tyrS]., Tyrosine-tRNA ligase, bacterial-type, type 1, Nucleotidylyl transferase, TyrRS_core, HUPs, Rossmann-like alpha/beta/alpha sandwich fold, tyrS: tyrosine--tRNA ligase, RNA-binding S4 domain superfamily, s4_6
G_50067_0_16_Limosilactobacillus_reuteri	Alpha-L RNA-binding motif, -, S4, RNA-binding S4 domain, Tyrosyl-tRNA synthetase signature, Tyrosine-tRNA ligase, Aminoacyl-transfer RNA synthetases class-I signature., Aminoacyl-tRNA synthetase, class I, conserved site, tRNA synthetases class I (W and Y), Aminoacyl-tRNA synthetase, class Ic, TYROSINE--TRNA LIGASE, MITOCHONDRIAL, TYROSYL-TRNA SYNTHETASE, Tyrosine-tRNA ligase, bacterial-type, S4 domain, S4 RNA-binding domain profile., Tyrosine--tRNA ligase [tyrS]., Tyrosine-tRNA ligase, bacterial-type, type 1, Nucleotidylyl transferase, TyrRS_core, HUPs, Rossmann-like alpha/beta/alpha sandwich fold, tyrS: tyrosine--tRNA ligase, RNA-binding S4 domain superfamily, s4_6
G_50003_0_16_Limosilactobacillus_reuteri	Alpha-L RNA-binding motif, -, S4, RNA-binding S4 domain, Tyrosyl-tRNA synthetase signature, Tyrosine-tRNA ligase, Aminoacyl-transfer RNA synthetases class-I signature., Aminoacyl-tRNA synthetase, class I, conserved site, tRNA synthetases class I (W and Y), Aminoacyl-tRNA synthetase, class Ic, TYROSINE--TRNA LIGASE, MITOCHONDRIAL, TYROSYL-TRNA SYNTHETASE, Tyrosine-tRNA ligase, bacterial-type, S4 domain, S4 RNA-binding domain profile., Tyrosine--tRNA ligase [tyrS]., Tyrosine-tRNA ligase, bacterial-type, type 1, Nucleotidylyl transferase, TyrRS_core, HUPs, Rossmann-like alpha/beta/alpha sandwich fold, tyrS: tyrosine--tRNA ligase, RNA-binding S4 domain superfamily, s4_6
