query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
G_50166_0_20_Limosilactobacillus_reuteri	525309.HMPREF0494_0795	3.88e-260	721.0	COG0439@1|root,COG0439@2|Bacteria,1TP16@1239|Firmicutes,4HARK@91061|Bacilli,3F3PT@33958|Lactobacillaceae	91061|Bacilli	I	Acetyl-CoA carboxylase biotin carboxylase subunit	accC	-	6.3.4.14,6.4.1.2	ko:K01961	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	M00082,M00376	R00742,R04385	RC00040,RC00253,RC00367	ko00000,ko00001,ko00002,ko01000	-	-	-	Biotin_carb_C,Biotin_carb_N,CPSase_L_D2
G_50166_0_21_Limosilactobacillus_reuteri	1203076.CAKF01000010_gene142	4.64e-130	374.0	COG1540@1|root,COG1540@2|Bacteria,1TR8X@1239|Firmicutes,4H9PF@91061|Bacilli,3F3Q3@33958|Lactobacillaceae	91061|Bacilli	S	LamB/YcsF family	-	-	-	ko:K07160	-	-	-	-	ko00000	-	-	-	LamB_YcsF
G_50166_0_22_Limosilactobacillus_reuteri	525309.HMPREF0494_0797	1.22e-228	637.0	COG1914@1|root,COG1914@2|Bacteria,1TP0Q@1239|Firmicutes,4HAYE@91061|Bacilli,3F582@33958|Lactobacillaceae	91061|Bacilli	P	Natural resistance-associated macrophage protein	ycsG	-	-	-	-	-	-	-	-	-	-	-	Nramp
G_123932_0_1_Staphylococcus_aureus	1194526.A284_10600	5.73e-79	251.0	COG3666@1|root,COG3666@2|Bacteria,1TQQ9@1239|Firmicutes,4H9KK@91061|Bacilli,4GY76@90964|Staphylococcaceae	91061|Bacilli	L	COG3666 Transposase and inactivated derivatives	-	-	-	ko:K07487	-	-	-	-	ko00000	-	-	-	DDE_Tnp_1,DDE_Tnp_1_6,DUF772
G_123932_0_2_Staphylococcus_aureus	1194526.A284_09350	5.41e-24	93.2	29H7I@1|root,30453@2|Bacteria,1TW1P@1239|Firmicutes,4I4R1@91061|Bacilli,4H05T@90964|Staphylococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_123932_0_4_Staphylococcus_aureus	1231377.C426_2015	7.19e-41	145.0	COG1961@1|root,COG1961@2|Bacteria,1UYJG@1239|Firmicutes,4HFDN@91061|Bacilli,1YCQ6@1357|Lactococcus	91061|Bacilli	L	Resolvase, N terminal domain	tnpR	-	-	-	-	-	-	-	-	-	-	-	HTH_23,HTH_7,Resolvase
G_49871_0_1_Limosilactobacillus_reuteri	326425.lhe_0037	3.11e-147	431.0	COG0582@1|root,COG0582@2|Bacteria,1U59Y@1239|Firmicutes,4IF1G@91061|Bacilli,3F5BK@33958|Lactobacillaceae	91061|Bacilli	L	Belongs to the 'phage' integrase family	-	-	-	-	-	-	-	-	-	-	-	-	Phage_int_SAM_5,Phage_integrase
G_49871_0_2_Limosilactobacillus_reuteri	326425.lhe_0036	8.77e-16	70.9	29PP2@1|root,30AMM@2|Bacteria,1U6VC@1239|Firmicutes,4IGP8@91061|Bacilli,3F8JJ@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_50019_0_1_Limosilactobacillus_reuteri	349123.Lreu23DRAFT_4487	4.55e-17	77.4	COG1396@1|root,COG1396@2|Bacteria,1V3D7@1239|Firmicutes,4IGD5@91061|Bacilli,3F83A@33958|Lactobacillaceae	91061|Bacilli	K	Cro/C1-type HTH DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
G_50019_0_2_Limosilactobacillus_reuteri	575594.ACOH01000018_gene1499	2.53e-51	205.0	COG1196@1|root,COG1196@2|Bacteria,1W39C@1239|Firmicutes,4I0DV@91061|Bacilli,3F754@33958|Lactobacillaceae	91061|Bacilli	D	nuclear chromosome segregation	-	-	-	-	-	-	-	-	-	-	-	-	Gram_pos_anchor
G_50019_0_4_Limosilactobacillus_reuteri	1605.Lani381_0628	2.49e-41	146.0	28JJY@1|root,2Z9CV@2|Bacteria,1VJPR@1239|Firmicutes,4HQG4@91061|Bacilli,3F8N3@33958|Lactobacillaceae	91061|Bacilli	S	Region found in RelA / SpoT proteins	-	-	-	-	-	-	-	-	-	-	-	-	RelA_SpoT
G_50019_0_5_Limosilactobacillus_reuteri	1605.Lani381_0629	8.93e-59	192.0	COG3600@1|root,COG3600@2|Bacteria,1VARQ@1239|Firmicutes,4HWDG@91061|Bacilli,3F7EQ@33958|Lactobacillaceae	91061|Bacilli	S	Protein of unknown function (DUF4065)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4065
G_50019_0_11_Limosilactobacillus_reuteri	405566.lhv_2015	7.21e-73	226.0	COG1961@1|root,COG1961@2|Bacteria,1UY4S@1239|Firmicutes,4HD5D@91061|Bacilli,3FBF8@33958|Lactobacillaceae	91061|Bacilli	L	Resolvase, N terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_7,Resolvase
G_50019_0_14_Limosilactobacillus_reuteri	557436.Lreu_1607	8.33e-104	320.0	COG0582@1|root,COG0582@2|Bacteria,1TTJI@1239|Firmicutes,4HDG6@91061|Bacilli,3F4IB@33958|Lactobacillaceae	91061|Bacilli	L	Belongs to the 'phage' integrase family	-	-	-	-	-	-	-	-	-	-	-	-	Arm-DNA-bind_4,Phage_int_SAM_3,Phage_int_SAM_5,Phage_integrase
G_50019_0_15_Limosilactobacillus_reuteri	557436.Lreu_1606	7.84e-284	777.0	COG2223@1|root,COG2223@2|Bacteria,1TPR9@1239|Firmicutes,4HB93@91061|Bacilli,3F4XT@33958|Lactobacillaceae	91061|Bacilli	P	Major Facilitator Superfamily	oxlT	-	-	ko:K08177	-	-	-	-	ko00000,ko02000	2.A.1.11	-	-	MFS_1
G_50019_0_16_Limosilactobacillus_reuteri	349123.Lreu23DRAFT_4558	4.69e-203	562.0	COG0566@1|root,COG0566@2|Bacteria,1TSUW@1239|Firmicutes,4HVQM@91061|Bacilli,3F598@33958|Lactobacillaceae	91061|Bacilli	J	Methyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	SpoU_methylase
G_129276_0_5_Staphylococcus_epidermidis	176279.SERP1654	1.42e-65	207.0	29IAC@1|root,305BC@2|Bacteria,1TXZJ@1239|Firmicutes,4I72F@91061|Bacilli,4GZUZ@90964|Staphylococcaceae	91061|Bacilli	S	LPXTG cell wall anchor motif	-	-	-	-	-	-	-	-	-	-	-	-	Gram_pos_anchor
G_129276_0_6_Staphylococcus_epidermidis	1397699.JNIS01000001_gene2236	4.08e-26	98.6	COG2261@1|root,COG2261@2|Bacteria,1VENK@1239|Firmicutes,4HNKV@91061|Bacilli,3WF0B@539002|Bacillales incertae sedis	91061|Bacilli	S	Transglycosylase associated protein	ydaS	-	-	-	-	-	-	-	-	-	-	-	Transgly_assoc
G_129276_0_7_Staphylococcus_epidermidis	1405498.SSIM_11835	3.36e-38	127.0	COG1278@1|root,COG1278@2|Bacteria,1VEE0@1239|Firmicutes,4HNJC@91061|Bacilli,4GZPS@90964|Staphylococcaceae	91061|Bacilli	K	COG1278 Cold shock proteins	cspC	-	-	ko:K03704	-	-	-	-	ko00000,ko03000	-	-	-	CSD
G_129276_0_8_Staphylococcus_epidermidis	176280.SE_p608	6.98e-14	70.9	COG5527@1|root,COG5527@2|Bacteria,1V8VU@1239|Firmicutes,4HWIQ@91061|Bacilli,4GYHP@90964|Staphylococcaceae	91061|Bacilli	L	Initiator Replication protein	-	-	-	-	-	-	-	-	-	-	-	-	Rep_3
G_129276_0_9_Staphylococcus_epidermidis	904314.SEVCU012_1061	2.22e-83	249.0	2E5BJ@1|root,3303M@2|Bacteria,1VGHA@1239|Firmicutes,4HQ41@91061|Bacilli	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	zinc_ribbon_2
G_129276_0_10_Staphylococcus_epidermidis	1229783.C273_11441	2.28e-94	288.0	COG0438@1|root,COG0438@2|Bacteria,1TQZR@1239|Firmicutes,4HBEH@91061|Bacilli,4GXXC@90964|Staphylococcaceae	91061|Bacilli	M	A stabilizing protein that is part of the accessory SecA2 SecY2 system specifically required to export serine-rich repeat cell wall proteins usually encoded upstream in the same operon. Stabilizes the glycosylation activity of Gtf1	gtf2	-	-	-	-	-	-	-	-	-	-	-	-
G_50133_0_6_Limosilactobacillus_reuteri	349123.Lreu23DRAFT_4487	3.66e-21	88.2	COG1396@1|root,COG1396@2|Bacteria,1V3D7@1239|Firmicutes,4IGD5@91061|Bacilli,3F83A@33958|Lactobacillaceae	91061|Bacilli	K	Cro/C1-type HTH DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
G_50133_0_9_Limosilactobacillus_reuteri	334390.LAF_1567	3.74e-179	504.0	COG2826@1|root,COG2826@2|Bacteria,1TWVR@1239|Firmicutes,4HCM1@91061|Bacilli,3F5JW@33958|Lactobacillaceae	91061|Bacilli	L	PFAM Integrase catalytic region	-	-	-	-	-	-	-	-	-	-	-	-	rve
G_50133_0_11_Limosilactobacillus_reuteri	349123.Lreu23DRAFT_5061	9.83e-36	123.0	29PXG@1|root,30AVV@2|Bacteria,1U762@1239|Firmicutes,4IH0U@91061|Bacilli,3F90X@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_50133_0_12_Limosilactobacillus_reuteri	1033837.WANG_0630	7.15e-38	128.0	COG2161@1|root,COG2161@2|Bacteria,1VEE5@1239|Firmicutes,4HP02@91061|Bacilli,3F88Y@33958|Lactobacillaceae	91061|Bacilli	D	Antitoxin component of a toxin-antitoxin (TA) module	-	-	-	-	-	-	-	-	-	-	-	-	PhdYeFM_antitox
G_50133_0_13_Limosilactobacillus_reuteri	1033837.WANG_0629	7.06e-36	123.0	COG4115@1|root,COG4115@2|Bacteria,1VAM5@1239|Firmicutes,4HRX3@91061|Bacilli,3F86X@33958|Lactobacillaceae	91061|Bacilli	S	YoeB-like toxin of bacterial type II toxin-antitoxin system	-	-	-	-	-	-	-	-	-	-	-	-	YoeB_toxin
G_50133_0_18_Limosilactobacillus_reuteri	435837.HMPREF0798_01054	2.63e-11	69.3	COG2944@1|root,COG2944@2|Bacteria,1UIZ9@1239|Firmicutes,4HR4Y@91061|Bacilli,4H0A3@90964|Staphylococcaceae	91061|Bacilli	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	-	-	-	-	-	-	-	HTH_19,HTH_3
G_132579_0_7_Staphylococcus_haemolyticus	1231377.C426_2015	7.19e-41	145.0	COG1961@1|root,COG1961@2|Bacteria,1UYJG@1239|Firmicutes,4HFDN@91061|Bacilli,1YCQ6@1357|Lactococcus	91061|Bacilli	L	Resolvase, N terminal domain	tnpR	-	-	-	-	-	-	-	-	-	-	-	HTH_23,HTH_7,Resolvase
G_128899_0_1_Staphylococcus_epidermidis	1194526.A284_09350	5.41e-24	93.2	29H7I@1|root,30453@2|Bacteria,1TW1P@1239|Firmicutes,4I4R1@91061|Bacilli,4H05T@90964|Staphylococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_128899_0_3_Staphylococcus_epidermidis	1231377.C426_2015	7.19e-41	145.0	COG1961@1|root,COG1961@2|Bacteria,1UYJG@1239|Firmicutes,4HFDN@91061|Bacilli,1YCQ6@1357|Lactococcus	91061|Bacilli	L	Resolvase, N terminal domain	tnpR	-	-	-	-	-	-	-	-	-	-	-	HTH_23,HTH_7,Resolvase
G_128899_0_10_Staphylococcus_epidermidis	279808.SH1947	2.2e-175	489.0	COG0623@1|root,COG0623@2|Bacteria,1TPVD@1239|Firmicutes,4H9YN@91061|Bacilli,4GXNK@90964|Staphylococcaceae	91061|Bacilli	I	Enoyl- acyl-carrier-protein reductase	fabI	GO:0000166,GO:0003674,GO:0003824,GO:0004312,GO:0004318,GO:0005488,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0006950,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009266,GO:0009409,GO:0009628,GO:0009987,GO:0016043,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0022607,GO:0030497,GO:0032787,GO:0033554,GO:0036094,GO:0043436,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0046394,GO:0048037,GO:0050661,GO:0050662,GO:0050896,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0051716,GO:0055114,GO:0065003,GO:0070417,GO:0071704,GO:0071840,GO:0072330,GO:0097159,GO:1901265,GO:1901363,GO:1901576	1.3.1.10,1.3.1.9	ko:K00208	ko00061,ko00333,ko00780,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01100,map01130,map01212	M00083,M00572	R01404,R04429,R04430,R04724,R04725,R04955,R04956,R04958,R04959,R04961,R04962,R04966,R04967,R04969,R04970,R07765,R10118,R10122,R11671	RC00052,RC00076,RC00120	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	adh_short_C2
G_50173_0_1_Limosilactobacillus_reuteri	557436.Lreu_0272	2.46e-108	313.0	2C5T7@1|root,2ZU21@2|Bacteria,1V414@1239|Firmicutes,4HHIP@91061|Bacilli,3F6JK@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_50173_0_2_Limosilactobacillus_reuteri	891391.LAC30SC_01360	1.05e-248	688.0	COG0582@1|root,COG0582@2|Bacteria,1TTJI@1239|Firmicutes,4HDG6@91061|Bacilli,3F4IB@33958|Lactobacillaceae	91061|Bacilli	L	Belongs to the 'phage' integrase family	int7	-	-	-	-	-	-	-	-	-	-	-	Arm-DNA-bind_4,Phage_int_SAM_3,Phage_integrase
G_50173_0_3_Limosilactobacillus_reuteri	891391.LAC30SC_01355	1.89e-28	103.0	2E38H@1|root,32Y87@2|Bacteria,1VIF1@1239|Firmicutes	1239|Firmicutes	S	DNA binding domain, excisionase family	-	-	-	-	-	-	-	-	-	-	-	-	Tn916-Xis
G_50173_0_6_Limosilactobacillus_reuteri	405566.lhv_2015	1.38e-75	234.0	COG1961@1|root,COG1961@2|Bacteria,1UY4S@1239|Firmicutes,4HD5D@91061|Bacilli,3FBF8@33958|Lactobacillaceae	91061|Bacilli	L	Resolvase, N terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_7,Resolvase
G_50173_0_10_Limosilactobacillus_reuteri	557436.Lreu_1842	8.31e-132	391.0	COG1686@1|root,COG1686@2|Bacteria,1TQN0@1239|Firmicutes,4HBD4@91061|Bacilli,3F43S@33958|Lactobacillaceae	91061|Bacilli	M	Belongs to the peptidase S11 family	dacA	GO:0003674,GO:0003824,GO:0004175,GO:0004180,GO:0004185,GO:0005575,GO:0005618,GO:0005623,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0008238,GO:0009002,GO:0016787,GO:0017171,GO:0019538,GO:0030312,GO:0043170,GO:0044238,GO:0044464,GO:0070008,GO:0070011,GO:0071704,GO:0071944,GO:0140096,GO:1901564	3.4.16.4	ko:K01286,ko:K07258	ko00550,ko01100,map00550,map01100	-	-	-	ko00000,ko00001,ko01000,ko01002,ko01011	-	-	-	PBP5_C,Peptidase_S11
G_50173_0_11_Limosilactobacillus_reuteri	525309.HMPREF0494_0290	1.51e-56	183.0	29PIV@1|root,30AH0@2|Bacteria,1U6NC@1239|Firmicutes,4IGFC@91061|Bacilli,3F86U@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_50173_0_12_Limosilactobacillus_reuteri	525309.HMPREF0494_0291	1.93e-14	68.2	29QC9@1|root,30BBI@2|Bacteria,1U7V6@1239|Firmicutes,4IHSK@91061|Bacilli,3FA7U@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_50173_0_13_Limosilactobacillus_reuteri	908339.HMPREF9265_1462	3.52e-118	342.0	COG1376@1|root,COG1376@2|Bacteria,1V4KP@1239|Firmicutes,4HIBF@91061|Bacilli,3F6PH@33958|Lactobacillaceae	91061|Bacilli	M	ErfK YbiS YcfS YnhG	-	-	-	-	-	-	-	-	-	-	-	-	Rib,YkuD
G_50173_0_15_Limosilactobacillus_reuteri	557436.Lreu_0040	3.96e-203	577.0	COG1376@1|root,COG1376@2|Bacteria,1TQMA@1239|Firmicutes,4HDTN@91061|Bacilli,3F3QW@33958|Lactobacillaceae	91061|Bacilli	S	Putative peptidoglycan binding domain	-	-	-	-	-	-	-	-	-	-	-	-	PG_binding_4,YkuD
G_50173_0_17_Limosilactobacillus_reuteri	748671.LCRIS_00248	7.7e-59	183.0	COG1733@1|root,COG1733@2|Bacteria,1VA9M@1239|Firmicutes,4HH0A@91061|Bacilli,3F7S1@33958|Lactobacillaceae	91061|Bacilli	K	Transcriptional regulator, HxlR family	ydeP	-	-	-	-	-	-	-	-	-	-	-	HxlR
G_50173_0_18_Limosilactobacillus_reuteri	525309.HMPREF0494_0070	3.68e-204	569.0	COG0604@1|root,COG0604@2|Bacteria,1TRNC@1239|Firmicutes,4HATC@91061|Bacilli,3F48F@33958|Lactobacillaceae	91061|Bacilli	C	Belongs to the zinc-containing alcohol dehydrogenase family. Quinone oxidoreductase subfamily	qor	-	1.1.1.1,1.6.5.5	ko:K00001,ko:K00344	ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220	-	R00623,R00754,R02124,R04805,R04880,R05233,R05234,R06917,R06927,R07105,R08281,R08306,R08310	RC00050,RC00087,RC00088,RC00099,RC00116,RC00649,RC01734,RC02273	ko00000,ko00001,ko01000	-	-	-	ADH_N,ADH_zinc_N,ADH_zinc_N_2
G_131572_0_8_Staphylococcus_epidermidis	1231377.C426_2015	5.72e-40	143.0	COG1961@1|root,COG1961@2|Bacteria,1UYJG@1239|Firmicutes,4HFDN@91061|Bacilli,1YCQ6@1357|Lactococcus	91061|Bacilli	L	Resolvase, N terminal domain	tnpR	-	-	-	-	-	-	-	-	-	-	-	HTH_23,HTH_7,Resolvase
G_131572_0_10_Staphylococcus_epidermidis	1194526.A284_09350	3.69e-16	72.4	29H7I@1|root,30453@2|Bacteria,1TW1P@1239|Firmicutes,4I4R1@91061|Bacilli,4H05T@90964|Staphylococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_131572_0_13_Staphylococcus_epidermidis	1194526.A284_11640	1.3e-60	191.0	29I65@1|root,3056Y@2|Bacteria,1TXTN@1239|Firmicutes,4I73N@91061|Bacilli,4GZX4@90964|Staphylococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	HTH_11
G_49864_0_2_Limosilactobacillus_reuteri	435837.HMPREF0798_01054	2.63e-11	69.3	COG2944@1|root,COG2944@2|Bacteria,1UIZ9@1239|Firmicutes,4HR4Y@91061|Bacilli,4H0A3@90964|Staphylococcaceae	91061|Bacilli	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	-	-	-	-	-	-	-	HTH_19,HTH_3
G_49864_0_6_Limosilactobacillus_reuteri	1033837.WANG_0629	1e-35	123.0	COG4115@1|root,COG4115@2|Bacteria,1VAM5@1239|Firmicutes,4HRX3@91061|Bacilli,3F86X@33958|Lactobacillaceae	91061|Bacilli	S	YoeB-like toxin of bacterial type II toxin-antitoxin system	-	-	-	-	-	-	-	-	-	-	-	-	YoeB_toxin
G_49864_0_7_Limosilactobacillus_reuteri	1033837.WANG_0630	3.03e-39	132.0	COG2161@1|root,COG2161@2|Bacteria,1VEE5@1239|Firmicutes,4HP02@91061|Bacilli,3F88Y@33958|Lactobacillaceae	91061|Bacilli	D	Antitoxin component of a toxin-antitoxin (TA) module	-	-	-	-	-	-	-	-	-	-	-	-	PhdYeFM_antitox
G_49864_0_8_Limosilactobacillus_reuteri	349123.Lreu23DRAFT_5061	5.68e-35	121.0	29PXG@1|root,30AVV@2|Bacteria,1U762@1239|Firmicutes,4IH0U@91061|Bacilli,3F90X@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_49864_0_12_Limosilactobacillus_reuteri	349123.Lreu23DRAFT_4487	7.36e-21	87.4	COG1396@1|root,COG1396@2|Bacteria,1V3D7@1239|Firmicutes,4IGD5@91061|Bacilli,3F83A@33958|Lactobacillaceae	91061|Bacilli	K	Cro/C1-type HTH DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
G_132877_0_3_Staphylococcus_hominis	176279.SERP2230	3.83e-39	131.0	29IR2@1|root,305NB@2|Bacteria,1TYFF@1239|Firmicutes,4I7JP@91061|Bacilli,4H0XA@90964|Staphylococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_132877_0_4_Staphylococcus_hominis	203123.OEOE_0687	2.83e-35	130.0	COG1961@1|root,COG1961@2|Bacteria,1UY4S@1239|Firmicutes,4HD5D@91061|Bacilli	91061|Bacilli	L	DNA-invertase Bin3	-	-	-	-	-	-	-	-	-	-	-	-	HTH_7,Resolvase
G_6949_0_1_Butyricicoccus_sp._AM42-5AC	1042156.CXIVA_10280	7.57e-18	77.8	COG1476@1|root,COG1476@2|Bacteria,1VG47@1239|Firmicutes,24QMK@186801|Clostridia	186801|Clostridia	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
G_6949_0_2_Butyricicoccus_sp._AM42-5AC	622312.ROSEINA2194_02519	2.11e-301	831.0	COG1672@1|root,COG1672@2|Bacteria,1TQQ5@1239|Firmicutes,24918@186801|Clostridia	186801|Clostridia	M	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	AAA-ATPase_like,PDDEXK_9
G_6949_0_3_Butyricicoccus_sp._AM42-5AC	1519439.JPJG01000034_gene1572	8.99e-62	195.0	2C0W2@1|root,306ZY@2|Bacteria,1V5YY@1239|Firmicutes,24I0Q@186801|Clostridia	186801|Clostridia	-	-	-	-	-	ko:K07726	-	-	-	-	ko00000,ko03000	-	-	-	HTH_3,HTH_7,MqsA_antitoxin
G_6949_0_4_Butyricicoccus_sp._AM42-5AC	1519439.JPJG01000034_gene1573	1.5e-136	392.0	2BYUU@1|root,2Z7P3@2|Bacteria,1UYDK@1239|Firmicutes,249UN@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_6949_0_5_Butyricicoccus_sp._AM42-5AC	1123288.SOV_6c00370	1.54e-33	118.0	COG2161@1|root,COG2161@2|Bacteria,1VG28@1239|Firmicutes,4H5ST@909932|Negativicutes	909932|Negativicutes	D	Antitoxin Phd_YefM, type II toxin-antitoxin system	-	-	-	-	-	-	-	-	-	-	-	-	PhdYeFM_antitox
G_6949_0_6_Butyricicoccus_sp._AM42-5AC	768706.Desor_2316	7.32e-15	70.5	COG3668@1|root,COG3668@2|Bacteria,1VART@1239|Firmicutes,24QXP@186801|Clostridia,265GS@186807|Peptococcaceae	186801|Clostridia	S	PFAM plasmid	-	-	-	-	-	-	-	-	-	-	-	-	ParE_toxin
G_6949_0_7_Butyricicoccus_sp._AM42-5AC	1121334.KB911084_gene487	2.49e-145	422.0	COG3547@1|root,COG3547@2|Bacteria,1TPSP@1239|Firmicutes,24AH4@186801|Clostridia,3WGYW@541000|Ruminococcaceae	186801|Clostridia	L	Transposase	-	-	-	-	-	-	-	-	-	-	-	-	DEDD_Tnp_IS110,Transposase_20
G_6949_0_8_Butyricicoccus_sp._AM42-5AC	665956.HMPREF1032_02624	1.11e-12	64.3	COG3547@1|root,COG3547@2|Bacteria,1TPSP@1239|Firmicutes,24AH4@186801|Clostridia,3WGYW@541000|Ruminococcaceae	186801|Clostridia	L	Transposase	-	-	-	-	-	-	-	-	-	-	-	-	DEDD_Tnp_IS110,Transposase_20
G_6949_0_9_Butyricicoccus_sp._AM42-5AC	1408323.JQKK01000005_gene260	5.38e-181	529.0	2DBQZ@1|root,2ZAHJ@2|Bacteria,1USFJ@1239|Firmicutes,24Z44@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_6949_0_10_Butyricicoccus_sp._AM42-5AC	1408323.JQKK01000005_gene260	7.77e-229	661.0	2DBQZ@1|root,2ZAHJ@2|Bacteria,1USFJ@1239|Firmicutes,24Z44@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_6949_0_11_Butyricicoccus_sp._AM42-5AC	693746.OBV_14350	8.63e-114	340.0	COG2826@1|root,COG2826@2|Bacteria,1TRSF@1239|Firmicutes,248IJ@186801|Clostridia,2N6TF@216572|Oscillospiraceae	186801|Clostridia	L	PFAM Integrase catalytic region	-	-	-	-	-	-	-	-	-	-	-	-	HTH_38,rve
G_6949_0_14_Butyricicoccus_sp._AM42-5AC	1211844.CBLM010000060_gene2105	4.84e-62	201.0	COG0639@1|root,COG0639@2|Bacteria,1V1HN@1239|Firmicutes,3VQKN@526524|Erysipelotrichia	526524|Erysipelotrichia	T	Firmicute fructose-1,6-bisphosphatase	-	-	-	-	-	-	-	-	-	-	-	-	Metallophos
G_6949_0_15_Butyricicoccus_sp._AM42-5AC	411490.ANACAC_01436	5.02e-79	244.0	COG1408@1|root,COG1408@2|Bacteria,1TR5D@1239|Firmicutes,24FE3@186801|Clostridia	186801|Clostridia	S	metallophosphoesterase	-	-	2.8.3.5	ko:K01028	ko00072,ko00280,ko00650,map00072,map00280,map00650	-	R00410	RC00014	ko00000,ko00001,ko01000	-	-	-	Metallophos
G_6949_0_16_Butyricicoccus_sp._AM42-5AC	1321782.HMPREF1986_00261	2.33e-109	331.0	COG3843@1|root,COG3843@2|Bacteria,1TPRX@1239|Firmicutes,2481D@186801|Clostridia,2PSGF@265975|Oribacterium	186801|Clostridia	U	Relaxase/Mobilisation nuclease domain	-	-	-	-	-	-	-	-	-	-	-	-	Relaxase
G_6949_0_17_Butyricicoccus_sp._AM42-5AC	585394.RHOM_10245	0.0	1087.0	COG1961@1|root,COG1961@2|Bacteria,1TPA6@1239|Firmicutes,247KF@186801|Clostridia	186801|Clostridia	L	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	DUF4368,Recombinase,Resolvase,Zn_ribbon_recom
G_6949_0_18_Butyricicoccus_sp._AM42-5AC	1232443.BAIA02000032_gene1907	6.01e-49	156.0	2CC5T@1|root,31HZB@2|Bacteria,1V7YP@1239|Firmicutes,24KWE@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_6949_0_19_Butyricicoccus_sp._AM42-5AC	411483.FAEPRAA2165_00068	1e-42	152.0	28J53@1|root,2Z90Z@2|Bacteria,1UZB1@1239|Firmicutes,24EGW@186801|Clostridia	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
G_6949_0_20_Butyricicoccus_sp._AM42-5AC	1226322.HMPREF1545_03437	1.87e-121	347.0	COG1595@1|root,COG1595@2|Bacteria,1V1JW@1239|Firmicutes,24FYN@186801|Clostridia,2N8EP@216572|Oscillospiraceae	186801|Clostridia	K	Sigma-70 region 2	-	-	-	ko:K03088	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r2,Sigma70_r4_2
